subject item word rt wordlength
10 10 that   297  4
10 10 the   265  3
10 10 guard   265  5
10 10 had   249  3
10 10 shouted_at   321 10
10 10 in   241  2
10 10 the   305  3
10 10 corridor   265  8
10 10 instructed   281 10
10 10 the   353  3
10 10 newscaster.   345 11
10 12 The   234  3
10 12 son   258  3
10 12 who   265  3
10 12 the   281  3
10 12 father   257  6
10 12 that   281  4
10 12 the   273  3
10 12 teacher   249  7
10 12 had   265  3
10 12 seen   273  4
10 12 at   265  2
10 12 the   281  3
10 12 station   257  7
10 12 had   233  3
10 12 disturbed   249  9
10 12 today   248  5
10 12 visited   273  7
10 12 the   281  3
10 12 grandfather.   297 12
10 16 The   290  3
10 16 painter   369  7
10 16 who   337  3
10 16 the   225  3
10 16 musician   305  8
10 16 that   633  4
10 16 the   361  3
10 16 friend   609  6
10 16 had   561  3
10 16 liked   425  5
10 16 at    97  2
10 16 the   337  3
10 16 festival   561  8
10 16 had   345  3
10 16 disturbed   393  9
10 16 that_day   336  8
10 16 admired   377  7
10 16 the   457  3
10 16 poet.   449  5
10  7 The   282  3
10  7 pharmacist   289 10
10  7 who   265  3
10  7 the   289  3
10  7 button   273  6
10  7 that   249  4
10  7 the   305  3
10  7 stranger   281  8
10  7 had   297  3
10  7 seen   297  4
10  7 in   265  2
10  7 the   369  3
10  7 shop   249  4
10  7 questioned   361 10
10  7 the   297  3
10  7 customer.   433  9
10 13 The   290  3
10 13 conductor   289  9
10 13 who   328  3
10 13 the   257  3
10 13 sponge   289  6
10 13 that   297  4
10 13 the   305  3
10 13 worker   265  6
10 13 had   281  3
10 13 ignored   281  7
10 13 during   257  6
10 13 the   281  3
10 13 cleanup   305  7
10 13 had   305  3
10 13 hit   297  3
10 13 earlier_today   265 13
10 13 berated   296  7
10 13 the   536  3
10 13 musician.   433  9
10  3 The   442  3
10  3 worker   329  6
10  3 who   321  3
10  3 the   337  3
10  3 bucket   321  6
10  3 that   313  4
10  3 the   337  3
10  3 foreman   289  7
10  3 had   321  3
10  3 looked_for   289 10
10  3 in   297  2
10  3 the   297  3
10  3 basement   265  8
10  3 questioned   393 10
10  3 the   281  3
10  3 shepherd.   537  9
10  2 The   226  3
10  2 mother   234  6
10  2 who   241  3
10  2 the   217  3
10  2 daughter   225  8
10  2 that   241  4
10  2 the   201  3
10  2 sister   225  6
10  2 had   249  3
10  2 found   217  5
10  2 in   241  2
10  2 the   233  3
10  2 room   193  4
10  2 greeted   265  7
10  2 the   233  3
10  2 grandmother.   241 12
11 10 The   394  3
11 10 artist   633  6
11 10 who   465  3
11 10 the   441  3
11 10 computer  1041  8
11 10 that   905  4
11 10 the   457  3
11 10 guard   489  5
11 10 had   561  3
11 10 shouted_at   601 10
11 10 in   801  2
11 10 the   585  3
11 10 corridor   465  8
11 10 instructed   736 10
11 10 the   505  3
11 10 newscaster.  2777 11
11  8 The   490  3
11  8 cleaner   585  7
11  8 who   601  3
11  8 the  1273  3
11  8 ball   489  4
11  8 that   913  4
11  8 the  1425  3
11  8 doctor   529  6
11  8 had   713  3
11  8 recognized   497 10
11  8 on   529  2
11  8 the   529  3
11  8 street   593  6
11  8 had   505  3
11  8 hurt   593  4
11  8 last_week   897  9
11  8 surprised   744  9
11  8 the   553  3
11  8 patient.  1041  8
11 15 The   538  3
11 15 cousin   553  6
11 15 who   825  3
11 15 the   617  3
11 15 brother   481  7
11 15 that  2577  4
11 15 the   489  3
11 15 peasant  1225  7
11 15 had  1609  3
11 15 described   504  9
11 15 in   449  2
11 15 great   969  5
11 15 detail  1009  6
11 15 had  1201  3
11 15 pleased   424  7
11 15 that_morning   776 12
11 15 hated   745  5
11 15 the   521  3
11 15 uncle.  1665  6
11 14 The   442  3
11 14 defence   705  7
11 14 who   985  3
11 14 the   889  3
11 14 knife  2769  5
11 14 that   881  4
11 14 the   537  3
11 14 spy   585  3
11 14 had   537  3
11 14 looked_at   793  9
11 14 in  1177  2
11 14 the   521  3
11 14 courtroom   945  9
11 14 convinced  1056  9
11 14 the   457  3
11 14 judge.  2129  6
11  6 The   481  3
11  6 saxophonist   825 11
11  6 who   465  3
11  6 the   513  3
11  6 baton   801  5
11  6 that  2521  4
11  6 the  1161  3
11  6 conductor   513  9
11  6 had   625  3
11  6 brought_along  1801 13
11  6 to   456  2
11  6 the   497  3
11  6 rehearsal   617  9
11  6 thanked   688  7
11  6 the  1145  3
11  6 violinist.  2152 10
11  4 The   554  3
11  4 trader  3889  6
11  4 who   561  3
11  4 the   761  3
11  4 computer  1312  8
11  4 that  1424  4
11  4 the  2321  3
11  4 professor   800  9
11  4 had   449  3
11  4 hired   513  5
11  4 over  1089  4
11  4 the   945  3
11  4 internet   553  8
11  4 had   777  3
11  4 confused   537  8
11  4 today   656  5
11  4 annoyed   849  7
11  4 the   720  3
11  4 investor.  1689  9
11  1 The   458  3
11  1 carpenter   593  9
11  1 who   801  3
11  1 the   497  3
11  1 craftsman   873  9
11  1 that  2737  4
11  1 the   601  3
11  1 peasant   521  7
11  1 had   745  3
11  1 carried   441  7
11  1 to   481  2
11  1 the   440  3
11  1 bus-stop   825  8
11  1 supervised   560 10
11  1 the   457  3
11  1 apprentice.  2072 11
11 16 The   538  3
11 16 painter   689  7
11 16 who   777  3
11 16 the   873  3
11 16 film  1409  4
11 16 that  2312  4
11 16 the   816  3
11 16 friend   721  6
11 16 had  2305  3
11 16 liked   673  5
11 16 at  1721  2
11 16 the   705  3
11 16 festival  1384  8
11 16 had  1560  3
11 16 disturbed  2352  9
11 16 that_day  1272  8
11 16 admired   552  7
11 16 the   601  3
11 16 poet.  1521  5
11 11 The   514  3
11 11 clerk   705  5
11 11 who   993  3
11 11 the  1673  3
11 11 bureaucrat   808 10
11 11 that  1464  4
11 11 the   584  3
11 11 visitor  1289  7
11 11 had   520  3
11 11 forgotten_about   512 15
11 11 at  1688  2
11 11 the   465  3
11 11 party   497  5
11 11 had   505  3
11 11 helped   489  6
11 11 that_afternoon  1680 14
11 11 annoyed   464  7
11 11 the   409  3
11 11 neighbor.   809  9
11 13 The   530  3
11 13 conductor   745  9
11 13 who   489  3
11 13 the   753  3
11 13 choirmaster  2408 11
11 13 that   728  4
11 13 the   441  3
11 13 worker   473  6
11 13 had   537  3
11 13 ignored   505  7
11 13 during   529  6
11 13 the   433  3
11 13 cleanup   505  7
11 13 berated   521  7
11 13 the   481  3
11 13 musician.  1393  9
11 12 The   474  3
11 12 son   666  3
11 12 who  1017  3
11 12 the   649  3
11 12 loudspeaker   864 11
11 12 that  2328  4
11 12 the   569  3
11 12 teacher   553  7
11 12 had   553  3
11 12 seen   481  4
11 12 at   449  2
11 12 the   337  3
11 12 station   441  7
11 12 had   441  3
11 12 disturbed   553  9
11 12 today   576  5
11 12 visited   865  7
11 12 the   577  3
11 12 grandfather.  1153 12
11  9 The   386  3
11  9 dancer   521  6
11  9 who   545  3
11  9 the   633  3
11  9 singer   777  6
11  9 that   769  4
11  9 the   577  3
11  9 bystander  1704  9
11  9 had   553  3
11  9 admired   624  7
11  9 at   673  2
11  9 the   337  3
11  9 concert   337  7
11  9 tipped   488  6
11  9 the   497  3
11  9 doorman.   889  8
11  2 The   466  3
11  2 mother   481  6
11  2 who   561  3
11  2 the   561  3
11  2 gun   897  3
11  2 that   985  4
11  2 the   849  3
11  2 sister   481  6
11  2 had   353  3
11  2 found   449  5
11  2 in   409  2
11  2 the   465  3
11  2 room   737  4
11  2 greeted   521  7
11  2 the   481  3
11  2 grandmother.  1417 12
11  5 The   474  3
11  5 painter   777  7
11  5 who   497  3
11  5 the   513  3
11  5 musician   529  8
11  5 that   705  4
11  5 the   569  3
11  5 father   769  6
11  5 had   825  3
11  5 missed   521  6
11  5 by   417  2
11  5 sheer   385  5
11  5 accident   385  8
11  5 cooked_for   616 10
11  5 the   505  3
11  5 artist.   769  7
11  7 The   490  3
11  7 pharmacist  1033 10
11  7 who   600  3
11  7 the   593  3
11  7 optician  1137  8
11  7 that  1624  4
11  7 the   561  3
11  7 stranger   529  8
11  7 had   761  3
11  7 seen   473  4
11  7 in   385  2
11  7 the   377  3
11  7 shop   409  4
11  7 had   417  3
11  7 troubled   497  8
11  7 this_afternoon   424 14
11  7 questioned   712 10
11  7 the   473  3
11  7 customer.   865  9
11  3 The   522  3
11  3 worker   481  6
11  3 who   593  3
11  3 the   529  3
11  3 tenant   705  6
11  3 that   697  4
11  3 the   537  3
11  3 foreman   497  7
11  3 had   489  3
11  3 looked_for   992 10
11  3 in   393  2
11  3 the   337  3
11  3 basement   513  8
11  3 had   505  3
11  3 injured   417  7
11  3 this_morning   368 12
11  3 questioned   696 10
11  3 the   409  3
11  3 shepherd.   577  9
12 15 The   314  3
12 15 cousin   593  6
12 15 who   345  3
12 15 the   369  3
12 15 diamond   873  7
12 15 that  1201  4
12 15 the   640  3
12 15 peasant   905  7
12 15 had   857  3
12 15 described   664  9
12 15 in   425  2
12 15 great   593  5
12 15 detail   641  6
12 15 had   401  3
12 15 pleased   449  7
12 15 that_morning   456 12
12 15 hated   721  5
12 15 the   361  3
12 15 uncle.   449  6
12 11 The   402  3
12 11 clerk   473  5
12 11 who   681  3
12 11 the   585  3
12 11 walking_stick   944 13
12 11 that  1760  4
12 11 the   689  3
12 11 visitor   513  7
12 11 had   721  3
12 11 forgotten_about  2072 15
12 11 at   400  2
12 11 the   369  3
12 11 party   673  5
12 11 had   545  3
12 11 helped   497  6
12 11 that_afternoon  1008 14
12 11 annoyed   416  7
12 11 the   424  3
12 11 neighbor.  1089  9
12  4 The   834  3
12  4 trader   553  6
12  4 who   609  3
12  4 the   513  3
12  4 businessman   744 11
12  4 that  1185  4
12  4 the   561  3
12  4 professor   649  9
12  4 had   369  3
12  4 hired  1097  5
12  4 over   569  4
12  4 the   625  3
12  4 internet   568  8
12  4 annoyed   601  7
12  4 the   705  3
12  4 investor.   801  9
12  8 The   482  3
12  8 cleaner  1177  7
12  8 who   881  3
12  8 the   472  3
12  8 janitor   449  7
12  8 that  1041  4
12  8 the   361  3
12  8 doctor   401  6
12  8 had   304  3
12  8 recognized   681 10
12  8 on   505  2
12  8 the   537  3
12  8 street   393  6
12  8 surprised   489  9
12  8 the   345  3
12  8 patient.  1569  8
12  6 The   697  3
12  6 saxophonist   809 11
12  6 who   401  3
12  6 the   385  3
12  6 trumpeter  1873  9
12  6 that   352  4
12  6 the   384  3
12  6 conductor   433  9
12  6 had   305  3
12  6 brought_along   520 13
12  6 to   601  2
12  6 the   665  3
12  6 rehearsal   465  9
12  6 had   425  3
12  6 distracted   641 10
12  6 last_evening  1760 12
12  6 thanked   312  7
12  6 the   321  3
12  6 violinist.   425 10
12  7 The   450  3
12  7 pharmacist   641 10
12  7 who   769  3
12  7 the  1057  3
12  7 button  1793  6
12  7 that   440  4
12  7 the   297  3
12  7 stranger   433  8
12  7 had   361  3
12  7 seen   393  4
12  7 in   433  2
12  7 the   401  3
12  7 shop   465  4
12  7 had   769  3
12  7 troubled   528  8
12  7 this_afternoon   440 14
12  7 questioned   888 10
12  7 the   528  3
12  7 customer.   521  9
12 14 The  1170  3
12 14 defence  2305  7
12 14 who   345  3
12 14 the   425  3
12 14 prosecutor   697 10
12 14 that   608  4
12 14 the   353  3
12 14 spy   409  3
12 14 had   337  3
12 14 looked_at   433  9
12 14 in   777  2
12 14 the   393  3
12 14 courtroom   457  9
12 14 had   416  3
12 14 surprised   609  9
12 14 yesterday   584  9
12 14 convinced   952  9
12 14 the   449  3
12 14 judge.   449  6
12  5 The   522  3
12  5 painter   497  7
12  5 who   545  3
12  5 the   449  3
12  5 hut  1073  3
12  5 that  1801  4
12  5 the   345  3
12  5 father   369  6
12  5 had   841  3
12  5 missed   489  6
12  5 by   361  2
12  5 sheer   473  5
12  5 accident   481  8
12  5 cooked_for   424 10
12  5 the   337  3
12  5 artist.   377  7
12 12 The   570  3
12 12 son   537  3
12 12 who   561  3
12 12 the   721  3
12 12 father   433  6
12 12 that  1073  4
12 12 the   385  3
12 12 teacher   545  7
12 12 had   361  3
12 12 seen   553  4
12 12 at   401  2
12 12 the   361  3
12 12 station  1687  7
12 12 visited   368  7
12 12 the   393  3
12 12 grandfather.  2025 12
12 16 The   442  3
12 16 painter   513  7
12 16 who   321  3
12 16 the   697  3
12 16 musician   449  8
12 16 that  1009  4
12 16 the   377  3
12 16 friend   425  6
12 16 had   737  3
12 16 liked   289  5
12 16 at   377  2
12 16 the   265  3
12 16 festival   465  8
12 16 admired   345  7
12 16 the   289  3
12 16 poet.  1401  5
12  9 The   610  3
12  9 dancer   521  6
12  9 who   553  3
12  9 the   529  3
12  9 shoe   441  4
12  9 that  1009  4
12  9 the   521  3
12  9 bystander   593  9
12  9 had   473  3
12  9 admired   473  7
12  9 at   441  2
12  9 the   369  3
12  9 concert   345  7
12  9 tipped   416  6
12  9 the   353  3
12  9 doorman.  1113  8
12  1 The   450  3
12  1 carpenter   425  9
12  1 who   369  3
12  1 the   321  3
12  1 pillar   369  6
12  1 that   929  4
12  1 the   281  3
12  1 peasant   393  7
12  1 had   281  3
12  1 carried   209  7
12  1 to   385  2
12  1 the   297  3
12  1 bus-stop   433  8
12  1 supervised   296 10
12  1 the   328  3
12  1 apprentice.   393 11
12 10 The   658  3
12 10 artist   569  6
12 10 who   289  3
12 10 the   417  3
12 10 sportsman   289  9
12 10 that   897  4
12 10 the   313  3
12 10 guard   273  5
12 10 had   688  3
12 10 shouted_at   345 10
12 10 in   449  2
12 10 the   369  3
12 10 corridor   705  8
12 10 had   328  3
12 10 annoyed   513  7
12 10 all_day  1704  7
12 10 instructed   264 10
12 10 the   369  3
12 10 newscaster.   233 11
12  3 The   426  3
12  3 worker   505  6
12  3 who   393  3
12  3 the   345  3
12  3 bucket   689  6
12  3 that   385  4
12  3 the   361  3
12  3 foreman   433  7
12  3 had   553  3
12  3 looked_for   496 10
12  3 in   297  2
12  3 the   345  3
12  3 basement   313  8
12  3 had   400  3
12  3 injured   393  7
12  3 this_morning   464 12
12  3 questioned   576 10
12  3 the   417  3
12  3 shepherd.   777  9
12  2 The   434  3
12  2 mother   233  6
12  2 who   313  3
12  2 the   329  3
12  2 daughter   233  8
12  2 that  1377  4
12  2 the   265  3
12  2 sister   305  6
12  2 had   481  3
12  2 found   393  5
12  2 in   337  2
12  2 the   369  3
12  2 room   553  4
12  2 had   289  3
12  2 frightened   385 10
12  2 today   328  5
12  2 greeted   289  7
12  2 the   305  3
12  2 grandmother.   369 12
12 13 The   786  3
12 13 conductor   577  9
12 13 who   529  3
12 13 the   425  3
12 13 sponge   753  6
12 13 that   345  4
12 13 the   641  3
12 13 worker   401  6
12 13 had   329  3
12 13 ignored   393  7
12 13 during   697  6
12 13 the   473  3
12 13 cleanup   353  7
12 13 berated   417  7
12 13 the   385  3
12 13 musician.   409  9
13 11 The   298  3
13 11 clerk   225  5
13 11 who   274  3
13 11 the   233  3
13 11 bureaucrat   273 10
13 11 that   289  4
13 11 the   273  3
13 11 visitor   289  7
13 11 had   273  3
13 11 forgotten_about   281 15
13 11 at   321  2
13 11 the   289  3
13 11 party   265  5
13 11 annoyed   257  7
13 11 the   321  3
13 11 neighbor.   305  9
13  2 The   258  3
13  2 mother   257  6
13  2 who   257  3
13  2 the   249  3
13  2 gun   241  3
13  2 that   225  4
13  2 the   273  3
13  2 sister   793  6
13  2 had   265  3
13  2 found   273  5
13  2 in   257  2
13  2 the   217  3
13  2 room   209  4
13  2 had   218  3
13  2 frightened   225 10
13  2 today   241  5
13  2 greeted   257  7
13  2 the   969  3
13  2 grandmother.   425 12
13  4 The   218  3
13  4 trader   225  6
13  4 who   201  3
13  4 the   257  3
13  4 computer   233  8
13  4 that   249  4
13  4 the   329  3
13  4 professor   265  9
13  4 had   297  3
13  4 hired   297  5
13  4 over   337  4
13  4 the   305  3
13  4 internet   321  8
13  4 annoyed   321  7
13  4 the   305  3
13  4 investor.   313  9
13 16 The   386  3
13 16 painter   376  7
13 16 who   321  3
13 16 the   401  3
13 16 film   489  4
13 16 that  1361  4
13 16 the   305  3
13 16 friend   321  6
13 16 had   281  3
13 16 liked   353  5
13 16 at   305  2
13 16 the   321  3
13 16 festival   273  8
13 16 admired   336  7
13 16 the   353  3
13 16 poet.   369  5
13 10 The   354  3
13 10 artist   321  6
13 10 who   345  3
13 10 the   353  3
13 10 computer   337  8
13 10 that   329  4
13 10 the   953  3
13 10 guard   377  5
13 10 had   385  3
13 10 shouted_at   377 10
13 10 in   361  2
13 10 the   361  3
13 10 corridor   345  8
13 10 had   345  3
13 10 annoyed   305  7
13 10 all_day   352  7
13 10 instructed   313 10
13 10 the   385  3
13 10 newscaster.   353 11
13  7 The   290  3
13  7 pharmacist   305 10
13  7 who   329  3
13  7 the   385  3
13  7 optician   337  8
13  7 that   457  4
13  7 the   553  3
13  7 stranger   497  8
13  7 had   449  3
13  7 seen   401  4
13  7 in   353  2
13  7 the   305  3
13  7 shop   281  4
13  7 questioned   225 10
13  7 the   377  3
13  7 customer.   313  9
13  5 The   250  3
13  5 painter   297  7
13  5 who   329  3
13  5 the   273  3
13  5 musician   345  8
13  5 that   297  4
13  5 the   897  3
13  5 father   337  6
13  5 had   457  3
13  5 missed   393  6
13  5 by   449  2
13  5 sheer   369  5
13  5 accident   393  8
13  5 had   401  3
13  5 sheltered   305  9
13  5 that_summer   400 11
13  5 cooked_for   464 10
13  5 the   401  3
13  5 artist.   321  7
13 12 The   258  3
13 12 son   218  3
13 12 who   257  3
13 12 the   257  3
13 12 loudspeaker   249 11
13 12 that   281  4
13 12 the   689  3
13 12 teacher   329  7
13 12 had   401  3
13 12 seen   273  4
13 12 at   337  2
13 12 the   257  3
13 12 station   217  7
13 12 visited   289  7
13 12 the   345  3
13 12 grandfather.   305 12
13 13 The   306  3
13 13 conductor   281  9
13 13 who   273  3
13 13 the   289  3
13 13 choirmaster   233 11
13 13 that   465  4
13 13 the   865  3
13 13 worker   497  6
13 13 had   273  3
13 13 ignored   337  7
13 13 during   377  6
13 13 the   281  3
13 13 cleanup   225  7
13 13 had   513  3
13 13 hit   257  3
13 13 earlier_today   304 13
