sub;item;trial;cond (for coding purposes in column G);resp (1 = yes, 2 = no);Q answer time;"correct/inc (1 = N1 interpretation for ambiguous RC questions and correct answers for unambiguous questions, 2 = N2 interpretation for ambiguous RC questions and incorrect responses for unambiguous RC questionsl; 3 = correct when answering superficial questions, 4 = incorrect supercifical answer)";qtype (1 = detailed questions, 2 = superficial questions, 3 = occasional superficial questions);amb (1 = ambiguous, 2 = N1 attachment, 3 = N2 attachment);qtype2 (1 = question about N1, 2 = question about N2);the;n1;of ;the ;n2;who;sub verb;reflexive;region9;matrix verb;w11;w12;w13;w14;w15;w16;w17;w18
7;5;119;1;1;1643;3;2;1;1;422;291;315;248;267;580;485;685;605;341;427;366;340;353;;;;
7;6;117;1;1;4451;3;2;1;1;405;665;397;235;392;326;394;392;484;428;444;292;320;243;;;;
7;7;94;2;2;2409;3;2;1;2;300;271;299;286;305;412;252;335;1368;358;1117;401;278;614;;;;
7;8;108;2;2;1743;3;2;1;2;275;402;220;282;784;490;450;547;1170;328;338;392;583;;;;;
7;9;81;2;2;2350;3;2;1;2;332;283;283;260;289;354;523;323;1378;347;250;290;575;;;;;
7;10;100;2;2;3452;3;2;1;2;405;309;240;301;257;472;503;373;695;693;472;254;276;617;;;;
7;11;87;2;2;3172;3;2;1;2;338;461;291;367;366;443;1608;1105;1085;359;388;1139;;;;;;
7;12;39;2;2;1857;3;2;1;2;310;243;324;247;591;335;679;370;809;422;427;980;;;;;;
7;13;6;3;1;2252;3;2;2;1;269;841;300;277;422;383;381;444;1323;380;496;327;806;;;;;
7;14;102;3;1;1184;3;2;2;1;365;361;378;327;355;393;390;349;1372;326;824;251;321;;;;;
7;15;78;3;1;2685;3;2;2;1;346;297;292;252;387;381;364;301;1621;489;485;334;450;;;;;
7;16;89;3;1;2451;3;2;2;1;243;303;359;277;315;393;670;568;1128;349;455;526;349;289;626;;;
7;17;24;3;1;2348;3;2;2;1;317;274;331;301;317;347;730;823;765;315;531;497;314;611;;;;
7;18;139;3;1;2775;3;2;2;1;376;329;325;325;372;361;542;337;1048;315;317;335;352;401;319;;;
7;19;85;4;2;2873;3;2;2;2;357;566;321;390;970;439;381;474;658;398;555;344;282;398;;;;
7;20;56;4;2;2401;3;2;2;2;276;347;335;304;271;609;604;638;2552;371;376;358;246;234;251;281;297;
7;21;3;4;2;2098;3;2;2;2;527;617;404;320;615;793;705;1421;752;730;296;334;343;997;;;;
7;22;72;4;2;2098;3;2;2;2;700;289;307;237;263;482;300;327;1037;298;318;312;396;448;;;;
7;23;104;4;2;2066;3;2;2;2;311;279;288;299;314;370;420;317;1787;485;482;590;;;;;;
7;24;12;4;2;4472;3;2;2;2;316;214;321;208;227;843;602;430;966;318;471;1324;;;;;;
7;25;130;5;1;1530;3;2;3;1;309;417;383;393;658;486;594;368;1842;336;456;562;411;;;;;
7;26;106;5;1;1815;3;2;3;1;419;1091;271;271;557;323;697;280;643;335;361;439;476;;;;;
7;27;136;5;1;2704;3;2;3;1;1844;2605;266;276;554;231;597;438;1840;418;274;234;352;311;;;;
7;28;76;5;1;3104;3;2;3;1;353;471;287;297;653;341;459;594;1642;492;398;355;433;;;;;
7;29;126;5;1;1638;3;2;3;1;315;273;332;338;296;364;603;283;1017;580;408;347;300;323;;;;
7;30;10;5;1;4430;3;2;3;1;300;297;294;300;300;971;1142;1255;886;1099;522;350;647;;;;;
7;31;70;6;2;3899;3;2;3;2;214;254;438;256;266;403;3907;326;1238;306;371;669;;;;;;
7;32;91;6;2;1738;3;2;3;2;371;460;306;324;352;391;358;506;1015;321;306;353;322;370;;;;
7;33;128;6;2;5913;3;2;3;2;286;513;283;299;656;355;1399;344;698;527;306;796;731;;;;;
7;34;58;6;2;1743;3;2;3;2;324;571;428;317;384;352;647;274;1333;434;572;1322;;;;;;
7;35;28;6;2;5033;3;2;3;2;300;537;334;222;499;396;772;369;962;339;354;315;571;;;;;
7;36;8;6;2;3048;3;2;3;2;285;323;407;275;571;386;3050;329;1342;346;324;301;844;;;;;
8;1;71;2;2;3114;3;2;1;2;320;295;302;271;292;589;364;354;942;357;253;576;;;;;;
8;2;32;2;2;1639;3;2;1;2;262;223;348;257;236;394;271;330;1005;321;358;436;851;;;;;
8;3;45;2;2;2391;3;2;1;2;317;538;404;299;309;1171;410;407;1068;348;343;412;398;986;439;729;;
8;4;78;2;2;1526;3;2;1;2;283;302;289;288;298;296;294;262;912;334;306;340;278;539;;;;
8;5;69;2;2;2283;3;2;1;2;274;327;329;298;285;324;269;290;595;297;310;432;370;760;;;;
8;6;67;2;2;1487;3;2;1;2;298;257;289;243;243;310;297;415;294;381;462;485;424;925;;;;
8;7;24;3;1;2281;3;2;2;1;294;441;338;386;412;321;349;365;987;768;888;365;378;699;;;;
8;8;17;3;1;1442;3;2;2;1;356;493;350;326;1139;343;596;420;988;429;447;424;1413;;;;;
8;9;89;3;1;1292;3;2;2;1;530;326;267;315;262;272;300;278;1119;258;297;279;868;;;;;
8;10;85;3;1;1375;3;2;2;1;344;271;252;239;213;275;286;303;693;917;539;349;306;455;;;;
8;11;121;3;1;1359;3;2;2;1;242;271;280;291;297;317;1258;367;1161;279;277;296;;;;;;
8;12;123;3;1;1390;3;2;2;1;407;401;371;288;375;415;474;591;963;450;617;3688;;;;;;
8;13;131;4;2;1883;3;2;2;2;328;355;345;291;282;467;378;285;1212;984;540;390;764;;;;;
8;14;38;4;2;4746;3;2;2;2;257;246;367;278;252;511;310;297;973;326;493;332;638;;;;;
8;15;133;4;2;2741;3;2;2;2;382;369;354;326;343;472;628;414;1440;470;424;381;1045;;;;;
8;16;18;4;2;1017;3;2;2;2;320;289;505;372;369;586;404;607;1951;431;428;473;366;309;784;;;
8;17;126;4;2;1550;3;2;2;2;376;323;319;1224;422;498;389;1341;1623;430;386;392;412;648;;;;
8;18;129;4;2;1876;3;2;2;2;331;352;417;305;314;772;335;466;1098;336;306;423;312;300;727;;;
8;19;92;5;1;2966;3;2;3;1;421;906;375;295;470;905;797;369;800;412;421;378;514;421;;;;
8;20;11;5;1;1915;3;2;3;1;307;314;301;280;277;603;340;390;1877;399;389;433;303;250;289;395;790;
8;21;9;5;1;1846;3;2;3;1;363;361;356;277;253;625;635;644;1100;488;506;390;457;874;;;;
8;22;115;5;1;1512;3;2;3;1;249;276;237;253;263;271;320;268;1167;280;467;386;266;539;;;;
8;23;112;5;1;1434;3;2;3;1;292;353;398;555;313;383;311;378;2037;398;623;1782;;;;;;
8;24;96;5;2;2782;4;2;3;1;277;325;386;251;301;527;681;241;903;713;349;562;;;;;;
8;25;119;6;2;1521;3;2;3;2;256;346;288;283;311;280;556;294;1237;282;335;312;640;;;;;
8;26;58;6;2;1622;3;2;3;2;343;727;306;323;293;341;348;298;568;282;637;404;441;;;;;
8;27;135;6;2;1744;3;2;3;2;314;543;352;300;296;444;342;314;1924;493;325;757;345;425;;;;
8;28;70;6;2;2666;3;2;3;2;256;269;499;288;274;556;299;242;1875;1012;390;346;785;;;;;
8;29;105;6;2;1418;3;2;3;2;286;269;306;325;288;546;320;398;738;293;318;267;355;266;;;;
8;30;87;6;2;2944;3;2;3;2;269;266;254;243;270;504;377;314;825;357;335;363;501;;;;;
8;31;25;1;1;1944;3;2;1;1;272;745;364;263;271;378;1946;467;1433;516;491;866;;;;;;
8;32;144;1;1;2059;3;2;1;1;288;309;337;283;302;530;309;587;957;364;348;354;303;542;;;;
8;33;3;1;1;2457;3;2;1;1;344;352;291;317;274;292;1165;352;704;338;700;1049;1717;;;;;
8;34;34;1;1;1402;3;2;1;1;283;242;260;287;256;303;303;396;1158;360;369;691;;;;;;
8;35;20;1;1;1244;3;2;1;1;252;249;407;327;277;789;775;381;1058;488;418;385;512;;;;;
8;36;137;1;1;1690;3;2;1;1;312;293;308;282;306;538;1691;369;928;322;361;589;1409;;;;;
9;1;89;3;1;1738;3;2;2;1;508;255;216;174;185;232;3853;399;1371;337;338;416;;;;;;
9;2;26;3;1;2657;3;2;2;1;269;266;258;215;262;241;229;257;772;258;249;475;521;;;;;
9;3;21;3;1;2380;3;2;2;1;215;401;231;377;256;254;262;261;1586;625;282;302;306;288;285;1049;;
9;4;41;3;1;1605;3;2;2;1;254;242;417;235;245;234;1255;243;953;236;525;391;268;634;;;;
9;5;100;3;1;2307;3;2;2;1;226;225;234;244;380;251;228;247;484;263;249;459;535;928;;;;
9;6;91;3;1;2092;3;2;2;1;234;224;192;227;240;208;226;1678;1409;625;2532;520;311;587;;;;
9;7;102;4;2;2341;3;2;2;2;237;228;488;235;239;211;231;230;712;243;243;560;426;734;;;;
9;8;127;4;2;1716;3;2;2;2;230;437;237;225;330;638;298;307;637;530;482;258;662;;;;;
9;9;95;4;2;4450;3;2;2;2;247;245;481;192;239;208;228;214;1497;319;383;719;885;;;;;
9;10;9;4;2;2480;3;2;2;2;860;246;232;223;201;470;2109;2771;2313;431;494;363;311;518;;;;
9;11;13;4;2;1673;3;2;2;2;301;228;235;237;224;243;1031;258;1210;350;607;959;;;;;;
9;12;83;4;2;1784;3;2;2;2;414;221;220;219;216;206;783;938;1494;399;405;599;;;;;;
9;13;112;5;1;1611;3;2;3;1;271;466;226;452;250;440;297;225;1214;368;417;454;433;;;;;
9;14;17;5;1;1544;3;2;3;1;318;265;243;243;260;288;258;3193;3823;375;422;339;476;;;;;
9;15;28;5;1;1805;3;2;3;1;578;260;252;481;289;246;594;250;1190;887;619;434;636;;;;;
9;16;125;5;1;2351;3;2;3;1;234;234;440;229;269;267;474;284;1351;353;296;569;488;306;604;;;
9;17;11;5;1;1744;3;2;3;1;521;221;382;254;192;270;279;971;1297;330;277;439;303;857;;;;
9;18;49;5;1;1806;3;2;3;1;819;266;235;204;234;697;306;273;851;643;681;448;707;770;1431;;;
9;19;68;6;2;2984;3;2;3;2;308;316;632;419;350;318;393;721;624;305;304;361;626;921;;;;
9;20;56;6;2;3515;3;2;3;2;212;445;218;235;235;223;233;300;2361;274;431;339;286;275;454;299;685;
9;21;140;6;2;1723;3;2;3;2;301;359;278;228;245;285;483;342;2701;288;316;323;302;540;;;;
9;22;136;6;2;2048;3;2;3;2;335;259;255;235;226;245;391;270;743;275;274;599;410;2292;;;;
9;23;34;6;2;2822;3;2;3;2;246;243;232;237;220;205;223;218;1141;233;551;1154;;;;;;
9;24;4;6;2;2209;3;2;3;2;617;601;1063;561;447;344;3289;320;1028;811;488;2608;;;;;;
9;25;93;1;1;3594;3;2;1;1;231;217;228;206;225;234;234;235;974;456;302;421;1065;;;;;
9;26;115;1;1;2910;3;2;1;1;228;437;227;255;253;242;240;265;602;307;652;847;613;;;;;
9;27;6;1;1;2519;3;2;1;1;269;234;186;243;183;212;238;257;3176;248;415;422;646;2806;;;;
9;28;54;1;1;1985;3;2;1;1;250;214;418;257;214;222;221;200;1701;319;496;354;759;;;;;
9;29;85;1;1;1475;3;2;1;1;730;267;256;497;232;292;1036;375;594;289;532;334;262;439;;;;
9;30;15;1;2;3405;4;2;1;1;292;230;241;228;245;245;530;476;965;694;353;439;1501;;;;;
9;31;87;2;2;1332;3;2;1;2;254;223;212;219;246;436;1336;249;1212;251;328;476;;;;;;
9;32;23;2;2;2015;3;2;1;2;371;320;233;217;237;233;242;259;789;279;311;354;504;804;;;;
9;33;62;2;2;2568;3;2;1;2;300;249;237;245;272;291;873;246;519;280;248;279;822;;;;;
9;34;2;2;2;1820;3;2;1;2;648;366;266;262;221;256;259;2189;1117;277;405;4592;;;;;;
9;35;45;2;2;1816;3;2;1;2;238;413;254;231;211;230;473;211;693;569;355;533;706;;;;;
9;36;81;2;2;1938;3;2;1;2;292;260;217;208;225;253;1940;235;684;215;285;412;588;;;;;
10;1;23;4;2;1555;3;2;2;2;737;523;340;457;650;386;332;569;1061;319;333;421;;;;;;
10;2;129;4;2;1402;3;2;2;2;230;306;256;283;311;270;277;415;886;289;372;319;588;;;;;
10;3;94;4;2;1138;3;2;2;2;389;196;355;264;479;237;464;366;1245;228;628;376;374;292;310;368;;
10;4;142;4;2;930;3;2;2;2;293;291;260;510;304;264;256;301;727;275;282;391;220;337;;;;
10;5;140;4;2;2588;3;2;2;2;324;321;258;357;483;211;340;229;809;342;214;348;278;466;;;;
10;6;7;4;2;1745;3;2;2;2;261;285;395;248;207;552;486;652;396;543;332;377;332;398;;;;
10;7;48;5;1;2235;3;2;3;1;396;416;344;309;368;401;279;438;1212;461;1628;366;372;461;;;;
10;8;144;5;1;842;3;2;3;1;495;373;342;368;288;295;301;470;856;283;309;333;328;;;;;
10;9;126;5;1;1288;3;2;3;1;273;389;225;284;453;266;218;336;1045;319;903;459;349;;;;;
10;10;82;5;1;736;3;2;3;1;321;418;240;355;222;430;237;345;649;495;264;364;291;368;;;;
10;11;60;5;1;581;3;2;3;1;411;369;325;314;529;497;1268;592;907;351;339;431;;;;;;
10;12;106;5;1;1319;3;2;3;1;482;310;348;367;333;792;684;322;649;533;561;290;;;;;;
10;13;11;6;2;1273;3;2;3;2;402;356;382;357;1128;425;370;266;989;315;401;428;1114;;;;;
10;14;99;6;2;996;3;2;3;2;313;330;287;277;713;279;278;274;636;294;291;294;353;;;;;
10;15;73;6;2;1107;3;2;3;2;305;393;345;1311;1151;317;327;344;1209;292;321;299;477;;;;;
10;16;9;6;2;1780;3;2;3;2;237;304;409;486;412;603;344;965;1207;284;339;367;381;339;622;;;
10;17;24;6;2;1650;3;2;3;2;295;264;448;308;374;290;725;539;2361;304;355;299;419;436;;;;
10;18;138;6;2;1098;3;2;3;2;296;234;301;230;208;357;287;631;810;335;264;351;296;247;316;;;
10;19;52;1;1;1312;3;2;1;1;490;238;334;293;308;456;302;282;683;321;318;306;295;403;;;;
10;20;118;1;1;1265;3;2;1;1;349;313;293;293;322;539;295;1982;2390;364;380;338;298;246;285;313;301;
10;21;108;1;1;1098;3;2;1;1;319;333;241;321;206;354;433;250;488;232;364;491;238;415;;;;
10;22;2;1;1;1967;3;2;1;1;357;394;588;345;1869;374;240;657;2833;593;655;491;298;394;;;;
10;23;35;1;1;1030;3;2;1;1;308;684;302;232;316;512;308;375;2005;368;354;370;;;;;;
10;24;133;1;2;4454;4;2;1;1;299;417;326;277;362;569;767;419;1352;357;443;352;;;;;;
10;25;40;2;2;891;3;2;1;2;649;471;666;327;386;299;384;281;1336;336;336;351;417;;;;;
10;26;102;2;2;817;3;2;1;2;307;552;249;339;476;396;311;339;568;350;290;336;504;;;;;
10;27;32;2;2;2399;3;2;1;2;317;362;230;449;225;325;259;316;1386;458;373;420;636;492;;;;
10;28;26;2;2;2325;3;2;1;2;290;652;220;309;515;491;328;354;1803;356;519;318;374;;;;;
10;29;115;2;2;1171;3;2;1;2;336;303;281;232;334;245;254;268;550;279;215;295;254;485;;;;
10;30;68;2;1;2149;4;2;1;2;281;287;324;243;273;757;464;265;1367;376;338;323;677;;;;;
10;31;111;3;1;1356;3;2;2;1;312;385;286;273;222;380;1360;289;1080;428;285;345;;;;;;
10;32;5;3;1;1048;3;2;2;1;306;590;474;371;269;415;342;363;1364;777;316;321;360;394;;;;
10;33;113;3;1;1579;3;2;2;1;526;602;419;476;494;459;1467;309;709;302;1044;651;504;;;;;
10;34;92;3;1;721;3;2;2;1;337;216;333;184;318;346;235;611;930;332;310;459;;;;;;
10;35;50;3;1;861;3;2;2;1;311;396;386;281;372;475;690;357;995;328;414;314;339;;;;;
10;36;16;3;1;1643;3;2;2;1;278;297;468;290;485;887;1644;724;952;334;319;722;625;;;;;
11;1;143;5;2;2325;4;2;3;1;271;308;280;264;261;239;245;253;746;294;274;526;;;;;;
11;2;41;5;1;1481;3;2;3;1;273;241;247;239;242;250;219;490;1186;320;723;319;503;;;;;
11;3;93;5;1;1998;3;2;3;1;290;328;316;925;253;618;326;401;2088;292;250;320;373;221;387;472;;
11;4;81;5;1;1340;3;2;3;1;228;245;253;242;256;248;253;233;1594;1042;275;423;314;922;;;;
11;5;21;5;1;2210;3;2;3;1;263;261;248;269;244;252;271;252;1249;275;256;524;816;557;;;;
11;6;123;5;1;2516;3;2;3;1;290;290;256;263;273;288;260;819;1219;328;234;322;306;1013;;;;
11;7;37;6;1;3519;4;2;3;2;312;250;237;247;225;238;231;251;731;258;2612;284;415;832;;;;
11;8;111;6;2;1240;3;2;3;2;240;268;276;271;259;257;276;238;2294;245;227;314;433;;;;;
11;9;11;6;2;1680;3;2;3;2;353;239;256;224;233;251;267;234;1209;334;257;591;589;;;;;
11;10;77;6;2;3734;3;2;3;2;284;260;262;234;224;429;217;224;466;267;336;272;268;347;;;;
11;11;74;6;2;1249;3;2;3;2;326;293;289;250;230;238;995;241;738;204;251;1317;;;;;;
11;12;101;6;2;1626;3;2;3;2;326;344;294;279;325;333;312;347;756;1619;334;528;;;;;;
11;13;23;1;1;1789;3;2;1;1;271;316;1056;314;301;309;356;348;1246;406;529;346;1085;;;;;
11;14;99;1;1;1281;3;2;1;1;271;255;307;288;300;457;275;1234;849;303;295;317;363;;;;;
11;15;71;1;1;2675;3;2;1;1;281;279;275;274;261;286;325;262;1117;290;356;343;430;;;;;
11;16;86;1;1;1957;3;2;1;1;232;248;227;233;245;217;231;206;1057;206;232;1034;391;238;471;;;
11;17;36;1;1;2496;3;2;1;1;260;259;243;242;250;1654;280;379;1113;481;281;594;597;;;;;
11;18;88;1;1;1393;3;2;1;1;282;260;286;265;241;251;267;695;796;1501;266;374;221;250;1874;;;
11;19;6;2;2;2804;3;2;1;2;273;274;267;254;235;251;247;255;515;277;259;253;258;1743;;;;
11;20;25;2;2;1505;3;2;1;2;280;281;282;243;515;452;352;316;1756;385;425;288;325;291;259;259;1752;
11;21;4;2;2;2084;3;2;1;2;311;245;273;292;297;254;264;243;730;327;295;264;251;949;;;;
11;22;34;2;2;1761;3;2;1;2;251;247;273;214;222;434;237;245;914;358;625;382;329;1186;;;;
11;23;56;2;2;1862;3;2;1;2;259;269;287;313;300;308;315;272;1348;364;254;1426;;;;;;
11;24;19;2;2;2246;3;2;1;2;273;240;257;240;221;249;538;285;1380;352;347;1008;;;;;;
11;25;48;3;1;2185;3;2;2;1;250;280;265;273;336;269;257;274;1371;279;305;293;895;;;;;
11;26;62;3;1;2318;3;2;2;1;254;245;313;269;256;267;250;268;1269;367;540;318;699;;;;;
11;27;109;3;1;1441;3;2;2;1;274;284;271;260;244;263;249;262;1240;248;249;265;302;1142;;;;
11;28;52;3;1;2289;3;2;2;1;357;334;353;328;276;314;299;316;2522;518;557;410;962;;;;;
11;29;136;3;1;1599;3;2;2;1;307;352;293;268;354;986;313;262;752;322;438;416;282;954;;;;
11;30;43;3;1;2024;3;2;2;1;253;260;260;553;249;443;282;270;1478;293;311;354;504;;;;;
11;31;9;4;2;1869;3;2;2;2;263;250;259;245;253;260;1875;230;1129;422;300;1288;;;;;;
11;32;113;4;2;1365;3;2;2;2;650;319;327;274;250;308;256;261;1051;332;260;256;374;1205;;;;
11;33;95;4;2;1738;3;2;2;2;291;264;316;242;259;236;810;267;511;238;280;475;1012;;;;;
11;34;115;4;2;1192;3;2;2;2;280;296;334;250;269;251;276;431;965;298;1018;943;;;;;;
11;35;1;4;2;1988;3;2;2;2;295;3354;968;279;532;380;647;568;756;623;370;253;818;;;;;
11;36;59;4;2;1825;3;2;2;2;260;238;237;264;257;260;1827;245;903;249;229;236;287;;;;;
12;1;35;6;2;1138;3;2;3;2;334;299;337;324;292;447;389;374;992;407;333;470;;;;;;
12;2;52;6;2;969;3;2;3;2;432;318;415;301;291;522;193;272;930;496;226;422;439;;;;;
12;3;55;6;2;999;3;2;3;2;277;255;291;308;295;245;271;409;842;261;257;334;301;259;276;302;;
12;4;67;6;2;1114;3;2;3;2;303;252;305;288;326;350;259;357;894;316;293;302;269;535;;;;
12;5;57;6;2;1326;3;2;3;2;289;209;275;294;265;240;228;255;973;354;312;373;296;501;;;;
12;6;101;6;2;1033;3;2;3;2;273;380;297;277;273;291;280;277;773;300;297;255;394;370;;;;
12;7;28;1;1;990;3;2;1;1;293;272;281;417;320;288;326;321;977;378;301;324;360;419;;;;
12;8;104;1;1;962;3;2;1;1;310;248;258;236;276;301;259;360;762;367;365;344;474;;;;;
12;9;65;1;1;1147;3;2;1;1;362;231;360;249;416;312;260;236;1100;274;263;321;434;;;;;
12;10;96;1;1;936;3;2;1;1;299;265;205;262;254;406;272;214;577;318;333;335;290;348;;;;
12;11;121;1;1;705;3;2;1;1;285;280;269;327;254;362;1099;215;672;233;313;391;;;;;;
12;12;7;1;1;1059;3;2;1;1;379;562;776;707;491;486;411;656;845;679;329;460;;;;;;
12;13;124;2;2;1188;3;2;1;2;277;277;330;322;348;311;234;274;800;267;413;304;538;;;;;
12;14;106;2;2;1018;3;2;1;2;282;269;366;236;234;268;270;268;602;300;249;296;338;;;;;
12;15;138;2;2;1149;3;2;1;2;254;374;283;292;243;348;267;260;1086;276;283;271;358;;;;;
12;16;140;2;2;904;3;2;1;2;425;329;289;268;285;266;244;262;1097;272;262;283;264;274;422;;;
12;17;127;2;2;1057;3;2;1;2;394;253;297;308;258;346;263;267;618;284;283;262;548;;;;;
12;18;26;2;2;1089;3;2;1;2;297;375;297;373;319;347;323;340;1011;410;532;395;383;339;723;;;
12;19;89;3;2;1131;4;2;2;1;326;410;277;272;242;271;247;256;639;357;345;296;272;328;;;;
12;20;20;3;1;696;3;2;2;1;331;341;377;313;366;405;330;338;1661;396;303;281;357;343;322;288;355;
12;21;11;3;1;920;3;2;2;1;631;427;396;457;387;430;517;537;794;317;461;322;325;425;;;;
12;22;5;3;1;1151;3;2;2;1;715;656;950;541;455;390;445;383;1388;443;439;354;326;533;;;;
12;23;116;3;1;858;3;2;2;1;255;254;371;299;305;333;304;280;1260;259;315;422;;;;;;
12;24;42;3;1;1846;3;2;2;1;314;307;333;282;269;327;640;284;1055;295;331;595;;;;;;
12;25;31;4;2;1062;3;2;2;2;328;425;452;328;353;400;346;542;1501;402;370;316;373;;;;;
12;26;91;4;2;843;3;2;2;2;294;332;300;397;579;300;297;274;629;288;405;402;816;;;;;
12;27;24;4;2;1057;3;2;2;2;396;608;495;439;488;421;455;464;2097;461;459;337;313;447;;;;
12;28;78;4;2;2705;3;2;2;2;255;263;300;296;433;414;296;334;1016;353;382;339;405;;;;;
12;29;99;4;2;831;3;2;2;2;393;561;337;277;282;282;338;327;557;349;278;292;296;303;;;;
12;30;84;4;2;1494;3;2;2;2;294;265;244;331;397;317;271;272;603;293;312;290;405;;;;;
12;31;134;5;1;1632;3;2;3;1;241;367;311;272;320;349;1638;257;1242;307;356;353;;;;;;
12;32;22;5;1;734;3;2;3;1;385;382;377;307;411;358;357;322;1015;340;336;362;377;403;;;;
12;33;71;5;1;1065;3;2;3;1;268;237;279;254;251;349;797;251;554;293;300;299;512;;;;;
