beauty evaluation
-0.1719505 2.8
-0.1719505 4.7
-0.1719505 4.2
-0.1719505 3.2
-0.1719505 3.1
-0.1719505 4
-1.167907 4.2
-1.167907 4.3
0.9525534 3.3
0.9525534 4.1
0.9525534 3.7
-1.140457 3.3
-1.140457 3.8
-1.140457 3.4
-1.140457 4.2
-1.140457 3.8
-1.140457 3.5
-1.140457 3.3
-0.8161172 4.3
-0.8161172 4.1
-0.4837456 4.5
-0.4837456 4.5
-0.4837456 4.6
-0.4837456 4.4
-0.4837456 4.1
-0.4837456 4.5
-0.4837456 4.3
-0.3261277 4.4
-0.3261277 4.9
-0.3261277 4.7
-0.3261277 4.6
0.1865589 4.8
0.1865589 4.2
0.1865589 4.6
1.881674 4.7
1.881674 4.6
1.881674 3.6
0.9626006 3.9
0.9626006 4
0.1534694 4.4
0.1534694 4.5
0.1534694 4.4
1.261046 3
1.261046 3.7
-0.3460746 3.6
-0.3460746 3.1
-0.744618 3.8
-0.744618 4.7
-0.744618 3.8
-0.744618 3.8
-0.744618 2.8
-0.744618 4
-0.7447439 4
-0.7447439 3.5
-0.7447439 3.4
-0.7447439 4
-0.7447439 3.5
-0.7447439 3.8
-0.7447439 4.7
-0.7447439 3.9
-0.7447439 4.5
-0.7447439 4.2
-0.7447439 4.7
-0.7447439 4
0.6361284 4.8
0.6361284 4.8
0.6361284 4.4
0.6361284 4.7
0.6361284 4.5
0.5434852 4.2
0.5434852 4.4
0.5434852 4.1
0.9825948 4.2
0.9825948 4.8
0.9825948 4.4
0.9825948 4.7
0.9825948 4.2
0.9825948 4.5
-1.538843 3.4
-1.538843 3.7
-1.538843 3.6
-1.538843 3.9
-1.538843 3.9
1.067531 3.7
1.067531 3
-0.4143639 3.6
-0.4143639 3.6
-0.4143639 4.3
-0.4143639 4.5
0.7962944 3.9
-0.6466943 4.6
-0.6466943 4.1
-0.6466943 4.2
-0.6466943 4.1
-0.6466943 3.1
-0.6466943 3.6
-0.6466943 4.2
-0.6466943 3
-0.6466943 4.2
-0.4299034 3.4
-0.5924066 3.1
-0.5924066 2.7
0.6851749 3.9
0.9755885 3.9
0.9755885 3.6
-1.178738 3.7
-1.178738 3.6
-1.178738 4.4
-1.178738 4.3
-1.178738 4.1
-1.178738 3.7
-1.157511 3.6
-1.157511 2.8
-1.157511 4
-1.157511 4.4
-1.157511 3.6
1.327346 3.7
-1.511268 2.9
-1.511268 2.6
-0.5783117 4.8
-0.5783117 4.9
-0.5783117 4.3
-0.5783117 4.4
-0.5783117 4.3
-0.5783117 4.7
-0.5783117 4.3
-0.5783117 4.6
-0.671936 4.9
-0.671936 4.8
-0.671936 4.7
-0.671936 4.8
-0.671936 4.9
-0.671936 4.8
-0.671936 4.8
-0.671936 5
-0.671936 4.5
0.6683338 3.8
0.6683338 3.8
0.6683338 3.8
0.6683338 4
0.6683338 4.2
0.7924695 4.5
0.7924695 4.5
0.7924695 4.6
0.7924695 4.7
-0.6548505 4.1
-0.6548505 3.6
-0.6548505 4
0.2510546 3.4
-0.2397178 2.8
-1.113346 4.1
-1.113346 3.5
-1.113346 3.4
-1.113346 4.1
-1.113346 4.2
-0.1135935 4.3
-0.1135935 4.1
-0.1135935 3.4
-0.8351366 3.5
-0.8351366 3.6
0.9005994 3.7
0.9005994 3
0.9005994 4.6
-0.620769 4
-0.620769 4.8
-0.620769 4.6
-0.8552412 3.4
-0.8552412 4.4
-0.8552412 3.6
-0.8552412 3.8
-0.8552412 3.7
-0.8552412 4.7
-0.8552412 4.5
-0.8552412 5
-0.8552412 3.8
-0.8552412 4.1
1.065906 4.3
1.065906 4.4
1.065906 4.7
1.065906 3.9
1.144253 4.8
1.144253 4.3
1.144253 4.6
1.144253 3.8
1.685985 5
1.685985 4.9
1.685985 4.6
1.685985 4.6
1.685985 5
1.685985 4.6
1.685985 4.9
1.684802 4
1.684802 3.9
0.6362435 4.1
-1.269975 2.9
-1.269975 2.8
-1.269975 2.8
-1.269975 4
-1.269975 3.3
-1.269975 3
1.681103 3.6
1.681103 3.8
-0.6756103 3.9
-0.0901815 4.7
-0.0901815 4.7
-0.1450257 3.9
-0.1450257 4.4
-0.1450257 3.6
-0.1450257 4.2
-0.1450257 3.4
-0.1450257 4
1.143045 4.2
1.143045 4.4
1.143045 4.5
1.143045 3.2
1.143045 4.3
0.3320507 3.3
0.3320507 3.2
0.3320507 4.1
