sub,itemType,item,cond,pos,posW,ansKey,rt,isCorrect,relabelpos,CL ,CUE
23,e5,3,a,0,绷带,-,431,1,2,noCL,noCUE
55,e5,3,a,0,绷带,-,432,1,2,noCL,noCUE
39,e5,3,a,0,绷带,-,475,1,2,noCL,noCUE
3,e5,3,a,0,绷带,-,542,1,2,noCL,noCUE
7,e5,3,a,0,绷带,-,573,1,2,noCL,noCUE
31,e5,3,a,0,绷带,-,666,1,2,noCL,noCUE
51,e5,3,a,0,绷带,-,670,1,2,noCL,noCUE
2,e5,4,a,0,乌篷船,-,271,1,2,noCL,noCUE
26,e5,4,a,0,乌篷船,-,274,1,2,noCL,noCUE
18,e5,4,a,0,乌篷船,-,304,1,2,noCL,noCUE
30,e5,4,a,0,乌篷船,-,305,1,2,noCL,noCUE
6,e5,4,a,0,乌篷船,-,338,1,2,noCL,noCUE
54,e5,4,a,0,乌篷船,-,339,1,2,noCL,noCUE
22,e5,4,a,0,乌篷船,-,413,1,2,noCL,noCUE
50,e5,4,a,0,乌篷船,-,416,1,2,noCL,noCUE
14,e5,4,a,0,乌篷船,-,456,1,2,noCL,noCUE
34,e5,4,a,0,乌篷船,-,515,1,2,noCL,noCUE
10,e5,4,a,0,乌篷船,-,669,1,2,noCL,noCUE
42,e5,4,a,0,乌篷船,-,833,1,2,noCL,noCUE
46,e5,4,a,0,乌篷船,-,882,1,2,noCL,noCUE
58,e5,4,a,0,乌篷船,-,925,1,2,noCL,noCUE
38,e5,4,a,0,乌篷船,-,1796,1,2,noCL,noCUE
41,e5,5,a,0,美食,-,215,1,2,noCL,noCUE
29,e5,5,a,0,美食,-,220,1,2,noCL,noCUE
49,e5,5,a,0,美食,-,307,1,2,noCL,noCUE
21,e5,5,a,0,美食,-,332,1,2,noCL,noCUE
13,e5,5,a,0,美食,-,376,1,2,noCL,noCUE
5,e5,5,a,0,美食,-,384,1,2,noCL,noCUE
25,e5,5,a,0,美食,-,426,1,2,noCL,noCUE
9,e5,5,a,0,美食,-,440,1,2,noCL,noCUE
45,e5,5,a,0,美食,-,462,1,2,noCL,noCUE
17,e5,5,a,0,美食,-,473,1,2,noCL,noCUE
53,e5,5,a,0,美食,-,490,1,2,noCL,noCUE
37,e5,5,a,0,美食,-,556,1,2,noCL,noCUE
33,e5,5,a,0,美食,-,584,1,2,noCL,noCUE
57,e5,5,a,0,美食,-,597,1,2,noCL,noCUE
40,e5,6,a,0,生意,-,216,1,2,noCL,noCUE
16,e5,6,a,0,生意,-,265,1,2,noCL,noCUE
56,e5,6,a,0,生意,-,277,1,2,noCL,noCUE
48,e5,6,a,0,生意,-,349,1,2,noCL,noCUE
60,e5,6,a,0,生意,-,351,1,2,noCL,noCUE
4,e5,6,a,0,生意,-,361,1,2,noCL,noCUE
12,e5,6,a,0,生意,-,376,1,2,noCL,noCUE
52,e5,6,a,0,生意,-,484,1,2,noCL,noCUE
36,e5,6,a,0,生意,-,616,1,2,noCL,noCUE
20,e5,6,a,0,生意,-,629,1,2,noCL,noCUE
8,e5,6,a,0,生意,-,693,1,2,noCL,noCUE
44,e5,6,a,0,生意,-,861,1,2,noCL,noCUE
32,e5,6,a,0,生意,-,881,1,2,noCL,noCUE
28,e5,6,a,0,生意,-,1048,1,2,noCL,noCUE
24,e5,6,a,0,生意,-,1451,1,2,noCL,noCUE
43,e5,7,a,0,流言,-,191,1,2,noCL,noCUE
19,e5,7,a,0,流言,-,235,1,2,noCL,noCUE
59,e5,7,a,0,流言,-,243,1,2,noCL,noCUE
35,e5,7,a,0,流言,-,341,1,2,noCL,noCUE
23,e5,7,a,0,流言,-,370,1,2,noCL,noCUE
7,e5,7,a,0,流言,-,372,1,2,noCL,noCUE
3,e5,7,a,0,流言,-,400,1,2,noCL,noCUE
47,e5,7,a,0,流言,-,410,1,2,noCL,noCUE
39,e5,7,a,0,流言,-,411,1,2,noCL,noCUE
15,e5,7,a,0,流言,-,454,2,2,noCL,noCUE
51,e5,7,a,0,流言,-,456,1,2,noCL,noCUE
27,e5,7,a,0,流言,-,482,1,2,noCL,noCUE
55,e5,7,a,0,流言,-,574,1,2,noCL,noCUE
31,e5,7,a,0,流言,-,673,1,2,noCL,noCUE
30,e5,8,a,0,文稿,-,253,1,2,noCL,noCUE
18,e5,8,a,0,文稿,-,259,1,2,noCL,noCUE
2,e5,8,a,0,文稿,-,262,1,2,noCL,noCUE
58,e5,8,a,0,文稿,-,268,1,2,noCL,noCUE
42,e5,8,a,0,文稿,-,333,1,2,noCL,noCUE
14,e5,8,a,0,文稿,-,341,1,2,noCL,noCUE
26,e5,8,a,0,文稿,-,354,1,2,noCL,noCUE
6,e5,8,a,0,文稿,-,370,1,2,noCL,noCUE
54,e5,8,a,0,文稿,-,387,1,2,noCL,noCUE
38,e5,8,a,0,文稿,-,393,1,2,noCL,noCUE
22,e5,8,a,0,文稿,-,395,1,2,noCL,noCUE
10,e5,8,a,0,文稿,-,434,1,2,noCL,noCUE
34,e5,8,a,0,文稿,-,482,1,2,noCL,noCUE
50,e5,8,a,0,文稿,-,488,1,2,noCL,noCUE
46,e5,8,a,0,文稿,-,541,1,2,noCL,noCUE
29,e5,9,a,0,议案,-,202,1,2,noCL,noCUE
13,e5,9,a,0,议案,-,292,1,2,noCL,noCUE
5,e5,9,a,0,议案,-,330,1,2,noCL,noCUE
37,e5,9,a,0,议案,-,352,1,2,noCL,noCUE
45,e5,9,a,0,议案,-,369,1,2,noCL,noCUE
53,e5,9,a,0,议案,-,398,1,2,noCL,noCUE
21,e5,9,a,0,议案,-,402,1,2,noCL,noCUE
49,e5,9,a,0,议案,-,404,1,2,noCL,noCUE
41,e5,9,a,0,议案,-,415,1,2,noCL,noCUE
9,e5,9,a,0,议案,-,520,1,2,noCL,noCUE
25,e5,9,a,0,议案,-,579,1,2,noCL,noCUE
17,e5,9,a,0,议案,-,580,1,2,noCL,noCUE
57,e5,9,a,0,议案,-,795,1,2,noCL,noCUE
33,e5,9,a,0,议案,-,1161,1,2,noCL,noCUE
40,e5,10,a,0,匿名信,-,222,1,2,noCL,noCUE
56,e5,10,a,0,匿名信,-,285,1,2,noCL,noCUE
20,e5,10,a,0,匿名信,-,291,1,2,noCL,noCUE
16,e5,10,a,0,匿名信,-,313,1,2,noCL,noCUE
48,e5,10,a,0,匿名信,-,352,1,2,noCL,noCUE
4,e5,10,a,0,匿名信,-,366,1,2,noCL,noCUE
52,e5,10,a,0,匿名信,-,489,1,2,noCL,noCUE
28,e5,10,a,0,匿名信,-,571,1,2,noCL,noCUE
12,e5,10,a,0,匿名信,-,628,1,2,noCL,noCUE
32,e5,10,a,0,匿名信,-,655,1,2,noCL,noCUE
60,e5,10,a,0,匿名信,-,666,2,2,noCL,noCUE
36,e5,10,a,0,匿名信,-,748,1,2,noCL,noCUE
44,e5,10,a,0,匿名信,-,752,1,2,noCL,noCUE
24,e5,10,a,0,匿名信,-,781,1,2,noCL,noCUE
8,e5,10,a,0,匿名信,-,919,1,2,noCL,noCUE
43,e5,11,a,0,网站,-,208,1,2,noCL,noCUE
19,e5,11,a,0,网站,-,260,2,2,noCL,noCUE
35,e5,11,a,0,网站,-,333,1,2,noCL,noCUE
15,e5,11,a,0,网站,-,344,2,2,noCL,noCUE
23,e5,11,a,0,网站,-,425,2,2,noCL,noCUE
47,e5,11,a,0,网站,-,437,1,2,noCL,noCUE
7,e5,11,a,0,网站,-,446,1,2,noCL,noCUE
39,e5,11,a,0,网站,-,462,2,2,noCL,noCUE
59,e5,11,a,0,网站,-,466,2,2,noCL,noCUE
51,e5,11,a,0,网站,-,468,2,2,noCL,noCUE
55,e5,11,a,0,网站,-,513,2,2,noCL,noCUE
27,e5,11,a,0,网站,-,549,2,2,noCL,noCUE
3,e5,11,a,0,网站,-,669,2,2,noCL,noCUE
31,e5,11,a,0,网站,-,1005,2,2,noCL,noCUE
2,e5,12,a,0,手雷,-,221,1,2,noCL,noCUE
30,e5,12,a,0,手雷,-,269,1,2,noCL,noCUE
22,e5,12,a,0,手雷,-,298,1,2,noCL,noCUE
14,e5,12,a,0,手雷,-,311,1,2,noCL,noCUE
18,e5,12,a,0,手雷,-,326,1,2,noCL,noCUE
26,e5,12,a,0,手雷,-,326,1,2,noCL,noCUE
6,e5,12,a,0,手雷,-,343,1,2,noCL,noCUE
54,e5,12,a,0,手雷,-,363,1,2,noCL,noCUE
10,e5,12,a,0,手雷,-,370,1,2,noCL,noCUE
42,e5,12,a,0,手雷,-,416,1,2,noCL,noCUE
58,e5,12,a,0,手雷,-,420,1,2,noCL,noCUE
50,e5,12,a,0,手雷,-,467,1,2,noCL,noCUE
46,e5,12,a,0,手雷,-,591,1,2,noCL,noCUE
34,e5,12,a,0,手雷,-,633,1,2,noCL,noCUE
38,e5,12,a,0,手雷,-,682,1,2,noCL,noCUE
5,e5,13,a,0,闭路电视,-,291,1,2,noCL,noCUE
41,e5,13,a,0,闭路电视,-,337,1,2,noCL,noCUE
29,e5,13,a,0,闭路电视,-,342,1,2,noCL,noCUE
17,e5,13,a,0,闭路电视,-,378,1,2,noCL,noCUE
21,e5,13,a,0,闭路电视,-,399,1,2,noCL,noCUE
45,e5,13,a,0,闭路电视,-,515,1,2,noCL,noCUE
13,e5,13,a,0,闭路电视,-,585,1,2,noCL,noCUE
33,e5,13,a,0,闭路电视,-,679,1,2,noCL,noCUE
49,e5,13,a,0,闭路电视,-,798,1,2,noCL,noCUE
25,e5,13,a,0,闭路电视,-,928,1,2,noCL,noCUE
9,e5,13,a,0,闭路电视,-,965,1,2,noCL,noCUE
57,e5,13,a,0,闭路电视,-,1251,1,2,noCL,noCUE
53,e5,13,a,0,闭路电视,-,2105,1,2,noCL,noCUE
37,e5,13,a,0,闭路电视,-,3067,1,2,noCL,noCUE
40,e5,14,a,0,山茶花,-,195,1,2,noCL,noCUE
16,e5,14,a,0,山茶花,-,300,1,2,noCL,noCUE
4,e5,14,a,0,山茶花,-,325,1,2,noCL,noCUE
48,e5,14,a,0,山茶花,-,362,1,2,noCL,noCUE
56,e5,14,a,0,山茶花,-,386,1,2,noCL,noCUE
20,e5,14,a,0,山茶花,-,396,1,2,noCL,noCUE
8,e5,14,a,0,山茶花,-,422,1,2,noCL,noCUE
60,e5,14,a,0,山茶花,-,427,2,2,noCL,noCUE
52,e5,14,a,0,山茶花,-,507,1,2,noCL,noCUE
44,e5,14,a,0,山茶花,-,564,1,2,noCL,noCUE
36,e5,14,a,0,山茶花,-,579,1,2,noCL,noCUE
12,e5,14,a,0,山茶花,-,687,1,2,noCL,noCUE
32,e5,14,a,0,山茶花,-,709,1,2,noCL,noCUE
24,e5,14,a,0,山茶花,-,961,1,2,noCL,noCUE
28,e5,14,a,0,山茶花,-,1784,1,2,noCL,noCUE
35,e5,15,a,0,镜头,-,219,1,2,noCL,noCUE
19,e5,15,a,0,镜头,-,306,1,2,noCL,noCUE
15,e5,15,a,0,镜头,-,314,1,2,noCL,noCUE
59,e5,15,a,0,镜头,-,341,1,2,noCL,noCUE
27,e5,15,a,0,镜头,-,376,1,2,noCL,noCUE
39,e5,15,a,0,镜头,-,387,1,2,noCL,noCUE
55,e5,15,a,0,镜头,-,388,1,2,noCL,noCUE
7,e5,15,a,0,镜头,-,459,1,2,noCL,noCUE
51,e5,15,a,0,镜头,-,511,1,2,noCL,noCUE
23,e5,15,a,0,镜头,-,515,1,2,noCL,noCUE
47,e5,15,a,0,镜头,-,530,1,2,noCL,noCUE
43,e5,15,a,0,镜头,-,542,1,2,noCL,noCUE
31,e5,15,a,0,镜头,-,546,1,2,noCL,noCUE
3,e5,15,a,0,镜头,-,663,1,2,noCL,noCUE
26,e5,16,a,0,顺口溜,-,202,2,2,noCL,noCUE
14,e5,16,a,0,顺口溜,-,295,1,2,noCL,noCUE
6,e5,16,a,0,顺口溜,-,324,1,2,noCL,noCUE
42,e5,16,a,0,顺口溜,-,334,1,2,noCL,noCUE
34,e5,16,a,0,顺口溜,-,427,1,2,noCL,noCUE
38,e5,16,a,0,顺口溜,-,439,1,2,noCL,noCUE
10,e5,16,a,0,顺口溜,-,479,1,2,noCL,noCUE
50,e5,16,a,0,顺口溜,-,481,1,2,noCL,noCUE
22,e5,16,a,0,顺口溜,-,511,1,2,noCL,noCUE
54,e5,16,a,0,顺口溜,-,547,1,2,noCL,noCUE
18,e5,16,a,0,顺口溜,-,646,1,2,noCL,noCUE
30,e5,16,a,0,顺口溜,-,684,1,2,noCL,noCUE
46,e5,16,a,0,顺口溜,-,689,1,2,noCL,noCUE
2,e5,16,a,0,顺口溜,-,1296,1,2,noCL,noCUE
58,e5,16,a,0,顺口溜,-,5418,1,2,noCL,noCUE
45,e5,17,a,0,案件,-,256,1,2,noCL,noCUE
13,e5,17,a,0,案件,-,302,1,2,noCL,noCUE
25,e5,17,a,0,案件,-,306,1,2,noCL,noCUE
29,e5,17,a,0,案件,-,310,1,2,noCL,noCUE
41,e5,17,a,0,案件,-,340,1,2,noCL,noCUE
53,e5,17,a,0,案件,-,349,1,2,noCL,noCUE
21,e5,17,a,0,案件,-,397,1,2,noCL,noCUE
5,e5,17,a,0,案件,-,433,1,2,noCL,noCUE
17,e5,17,a,0,案件,-,437,1,2,noCL,noCUE
57,e5,17,a,0,案件,-,450,1,2,noCL,noCUE
37,e5,17,a,0,案件,-,494,1,2,noCL,noCUE
33,e5,17,a,0,案件,-,634,1,2,noCL,noCUE
9,e5,17,a,0,案件,-,783,1,2,noCL,noCUE
49,e5,17,a,0,案件,-,964,1,2,noCL,noCUE
16,e5,18,a,0,大字报,-,299,1,2,noCL,noCUE
20,e5,18,a,0,大字报,-,319,1,2,noCL,noCUE
56,e5,18,a,0,大字报,-,342,1,2,noCL,noCUE
12,e5,18,a,0,大字报,-,362,1,2,noCL,noCUE
40,e5,18,a,0,大字报,-,397,1,2,noCL,noCUE
60,e5,18,a,0,大字报,-,414,2,2,noCL,noCUE
28,e5,18,a,0,大字报,-,429,1,2,noCL,noCUE
52,e5,18,a,0,大字报,-,559,1,2,noCL,noCUE
8,e5,18,a,0,大字报,-,571,1,2,noCL,noCUE
32,e5,18,a,0,大字报,-,615,2,2,noCL,noCUE
4,e5,18,a,0,大字报,-,651,1,2,noCL,noCUE
44,e5,18,a,0,大字报,-,663,1,2,noCL,noCUE
36,e5,18,a,0,大字报,-,747,1,2,noCL,noCUE
24,e5,18,a,0,大字报,-,812,1,2,noCL,noCUE
48,e5,18,a,0,大字报,-,4346,1,2,noCL,noCUE
19,e5,19,a,0,飞镖,-,267,1,2,noCL,noCUE
59,e5,19,a,0,飞镖,-,277,1,2,noCL,noCUE
51,e5,19,a,0,飞镖,-,286,1,2,noCL,noCUE
35,e5,19,a,0,飞镖,-,296,1,2,noCL,noCUE
27,e5,19,a,0,飞镖,-,348,1,2,noCL,noCUE
15,e5,19,a,0,飞镖,-,364,1,2,noCL,noCUE
23,e5,19,a,0,飞镖,-,379,1,2,noCL,noCUE
3,e5,19,a,0,飞镖,-,423,1,2,noCL,noCUE
39,e5,19,a,0,飞镖,-,450,1,2,noCL,noCUE
55,e5,19,a,0,飞镖,-,478,1,2,noCL,noCUE
7,e5,19,a,0,飞镖,-,481,1,2,noCL,noCUE
43,e5,19,a,0,飞镖,-,483,1,2,noCL,noCUE
31,e5,19,a,0,飞镖,-,540,1,2,noCL,noCUE
47,e5,19,a,0,飞镖,-,793,1,2,noCL,noCUE
18,e5,20,a,0,侦查系统,-,285,1,2,noCL,noCUE
22,e5,20,a,0,侦查系统,-,286,1,2,noCL,noCUE
30,e5,20,a,0,侦查系统,-,341,1,2,noCL,noCUE
46,e5,20,a,0,侦查系统,-,373,1,2,noCL,noCUE
34,e5,20,a,0,侦查系统,-,383,1,2,noCL,noCUE
38,e5,20,a,0,侦查系统,-,412,1,2,noCL,noCUE
6,e5,20,a,0,侦查系统,-,421,1,2,noCL,noCUE
54,e5,20,a,0,侦查系统,-,485,1,2,noCL,noCUE
26,e5,20,a,0,侦查系统,-,557,1,2,noCL,noCUE
14,e5,20,a,0,侦查系统,-,654,1,2,noCL,noCUE
58,e5,20,a,0,侦查系统,-,657,1,2,noCL,noCUE
50,e5,20,a,0,侦查系统,-,726,1,2,noCL,noCUE
42,e5,20,a,0,侦查系统,-,893,1,2,noCL,noCUE
2,e5,20,a,0,侦查系统,-,2513,1,2,noCL,noCUE
10,e5,20,a,0,侦查系统,-,2609,1,2,noCL,noCUE
29,e5,21,a,0,无线讯号,-,218,1,2,noCL,noCUE
13,e5,21,a,0,无线讯号,-,224,1,2,noCL,noCUE
41,e5,21,a,0,无线讯号,-,380,1,2,noCL,noCUE
5,e5,21,a,0,无线讯号,-,383,1,2,noCL,noCUE
45,e5,21,a,0,无线讯号,-,420,1,2,noCL,noCUE
49,e5,21,a,0,无线讯号,-,422,1,2,noCL,noCUE
53,e5,21,a,0,无线讯号,-,535,1,2,noCL,noCUE
33,e5,21,a,0,无线讯号,-,686,1,2,noCL,noCUE
57,e5,21,a,0,无线讯号,-,733,1,2,noCL,noCUE
37,e5,21,a,0,无线讯号,-,763,1,2,noCL,noCUE
17,e5,21,a,0,无线讯号,-,787,1,2,noCL,noCUE
21,e5,21,a,0,无线讯号,-,868,1,2,noCL,noCUE
9,e5,21,a,0,无线讯号,-,1400,1,2,noCL,noCUE
25,e5,21,a,0,无线讯号,-,1745,1,2,noCL,noCUE
40,e5,22,a,0,水草,-,186,1,2,noCL,noCUE
56,e5,22,a,0,水草,-,271,1,2,noCL,noCUE
16,e5,22,a,0,水草,-,344,1,2,noCL,noCUE
8,e5,22,a,0,水草,-,360,1,2,noCL,noCUE
48,e5,22,a,0,水草,-,373,1,2,noCL,noCUE
4,e5,22,a,0,水草,-,380,1,2,noCL,noCUE
28,e5,22,a,0,水草,-,430,1,2,noCL,noCUE
60,e5,22,a,0,水草,-,433,1,2,noCL,noCUE
12,e5,22,a,0,水草,-,441,1,2,noCL,noCUE
32,e5,22,a,0,水草,-,467,1,2,noCL,noCUE
20,e5,22,a,0,水草,-,475,1,2,noCL,noCUE
36,e5,22,a,0,水草,-,499,1,2,noCL,noCUE
24,e5,22,a,0,水草,-,799,1,2,noCL,noCUE
44,e5,22,a,0,水草,-,821,1,2,noCL,noCUE
52,e5,22,a,0,水草,-,1106,1,2,noCL,noCUE
35,e5,23,a,0,税法,-,254,1,2,noCL,noCUE
59,e5,23,a,0,税法,-,277,1,2,noCL,noCUE
55,e5,23,a,0,税法,-,316,1,2,noCL,noCUE
15,e5,23,a,0,税法,-,351,1,2,noCL,noCUE
19,e5,23,a,0,税法,-,379,1,2,noCL,noCUE
43,e5,23,a,0,税法,-,387,1,2,noCL,noCUE
47,e5,23,a,0,税法,-,408,1,2,noCL,noCUE
3,e5,23,a,0,税法,-,417,1,2,noCL,noCUE
7,e5,23,a,0,税法,-,457,1,2,noCL,noCUE
27,e5,23,a,0,税法,-,537,1,2,noCL,noCUE
23,e5,23,a,0,税法,-,564,1,2,noCL,noCUE
31,e5,23,a,0,税法,-,638,1,2,noCL,noCUE
51,e5,23,a,0,税法,-,661,1,2,noCL,noCUE
39,e5,23,a,0,税法,-,702,1,2,noCL,noCUE
30,e5,24,a,0,皮球,-,221,1,2,noCL,noCUE
22,e5,24,a,0,皮球,-,318,1,2,noCL,noCUE
6,e5,24,a,0,皮球,-,324,1,2,noCL,noCUE
42,e5,24,a,0,皮球,-,341,1,2,noCL,noCUE
18,e5,24,a,0,皮球,-,347,1,2,noCL,noCUE
14,e5,24,a,0,皮球,-,348,1,2,noCL,noCUE
46,e5,24,a,0,皮球,-,358,1,2,noCL,noCUE
26,e5,24,a,0,皮球,-,394,1,2,noCL,noCUE
38,e5,24,a,0,皮球,-,422,1,2,noCL,noCUE
58,e5,24,a,0,皮球,-,464,1,2,noCL,noCUE
54,e5,24,a,0,皮球,-,482,1,2,noCL,noCUE
50,e5,24,a,0,皮球,-,493,1,2,noCL,noCUE
10,e5,24,a,0,皮球,-,522,1,2,noCL,noCUE
34,e5,24,a,0,皮球,-,672,1,2,noCL,noCUE
2,e5,24,a,0,皮球,-,1982,1,2,noCL,noCUE
30,e5,1,b,0,那位,-,247,1,0,CL,noCUE
14,e5,1,b,0,那位,-,289,1,0,CL,noCUE
22,e5,1,b,0,那位,-,292,1,0,CL,noCUE
6,e5,1,b,0,那位,-,398,1,0,CL,noCUE
54,e5,1,b,0,那位,-,403,1,0,CL,noCUE
2,e5,1,b,0,那位,-,411,1,0,CL,noCUE
58,e5,1,b,0,那位,-,432,1,0,CL,noCUE
42,e5,1,b,0,那位,-,442,1,0,CL,noCUE
10,e5,1,b,0,那位,-,444,1,0,CL,noCUE
34,e5,1,b,0,那位,-,458,1,0,CL,noCUE
46,e5,1,b,0,那位,-,459,1,0,CL,noCUE
50,e5,1,b,0,那位,-,463,1,0,CL,noCUE
38,e5,1,b,0,那位,-,475,1,0,CL,noCUE
26,e5,1,b,0,那位,-,481,1,0,CL,noCUE
18,e5,1,b,0,那位,-,492,1,0,CL,noCUE
29,e5,2,b,0,那名,-,245,1,0,CL,noCUE
41,e5,2,b,0,那名,-,283,1,0,CL,noCUE
49,e5,2,b,0,那名,-,340,1,0,CL,noCUE
37,e5,2,b,0,那名,-,362,1,0,CL,noCUE
5,e5,2,b,0,那名,-,367,1,0,CL,noCUE
13,e5,2,b,0,那名,-,373,1,0,CL,noCUE
21,e5,2,b,0,那名,-,380,1,0,CL,noCUE
53,e5,2,b,0,那名,-,393,1,0,CL,noCUE
33,e5,2,b,0,那名,-,407,1,0,CL,noCUE
9,e5,2,b,0,那名,-,438,1,0,CL,noCUE
57,e5,2,b,0,那名,-,445,1,0,CL,noCUE
17,e5,2,b,0,那名,-,475,1,0,CL,noCUE
25,e5,2,b,0,那名,-,478,1,0,CL,noCUE
45,e5,2,b,0,那名,-,714,1,0,CL,noCUE
40,e5,3,b,0,那位,-,228,1,0,CL,noCUE
16,e5,3,b,0,那位,-,229,1,0,CL,noCUE
48,e5,3,b,0,那位,-,240,1,0,CL,noCUE
28,e5,3,b,0,那位,-,380,1,0,CL,noCUE
8,e5,3,b,0,那位,-,406,1,0,CL,noCUE
60,e5,3,b,0,那位,-,414,1,0,CL,noCUE
56,e5,3,b,0,那位,-,421,1,0,CL,noCUE
36,e5,3,b,0,那位,-,456,1,0,CL,noCUE
32,e5,3,b,0,那位,-,458,1,0,CL,noCUE
24,e5,3,b,0,那位,-,510,1,0,CL,noCUE
52,e5,3,b,0,那位,-,585,1,0,CL,noCUE
44,e5,3,b,0,那位,-,625,1,0,CL,noCUE
4,e5,3,b,0,那位,-,670,1,0,CL,noCUE
20,e5,3,b,0,那位,-,713,1,0,CL,noCUE
12,e5,3,b,0,那位,-,808,1,0,CL,noCUE
19,e5,4,b,0,那名,-,219,1,0,CL,noCUE
59,e5,4,b,0,那名,-,256,1,0,CL,noCUE
43,e5,4,b,0,那名,-,268,1,0,CL,noCUE
51,e5,4,b,0,那名,-,289,1,0,CL,noCUE
55,e5,4,b,0,那名,-,369,1,0,CL,noCUE
23,e5,4,b,0,那名,-,375,1,0,CL,noCUE
7,e5,4,b,0,那名,-,405,1,0,CL,noCUE
15,e5,4,b,0,那名,-,426,1,0,CL,noCUE
27,e5,4,b,0,那名,-,426,1,0,CL,noCUE
35,e5,4,b,0,那名,-,456,1,0,CL,noCUE
3,e5,4,b,0,那名,-,493,1,0,CL,noCUE
39,e5,4,b,0,那名,-,519,1,0,CL,noCUE
31,e5,4,b,0,那名,-,640,1,0,CL,noCUE
47,e5,4,b,0,那名,-,1164,1,0,CL,noCUE
30,e5,5,b,0,那位,-,254,1,0,CL,noCUE
18,e5,5,b,0,那位,-,303,1,0,CL,noCUE
22,e5,5,b,0,那位,-,311,1,0,CL,noCUE
6,e5,5,b,0,那位,-,328,1,0,CL,noCUE
26,e5,5,b,0,那位,-,345,1,0,CL,noCUE
54,e5,5,b,0,那位,-,370,1,0,CL,noCUE
34,e5,5,b,0,那位,-,378,1,0,CL,noCUE
38,e5,5,b,0,那位,-,434,1,0,CL,noCUE
10,e5,5,b,0,那位,-,453,1,0,CL,noCUE
42,e5,5,b,0,那位,-,460,1,0,CL,noCUE
14,e5,5,b,0,那位,-,471,1,0,CL,noCUE
2,e5,5,b,0,那位,-,485,1,0,CL,noCUE
50,e5,5,b,0,那位,-,516,1,0,CL,noCUE
58,e5,5,b,0,那位,-,527,1,0,CL,noCUE
46,e5,5,b,0,那位,-,531,1,0,CL,noCUE
29,e5,6,b,0,那名,-,238,1,0,CL,noCUE
41,e5,6,b,0,那名,-,335,1,0,CL,noCUE
21,e5,6,b,0,那名,-,340,1,0,CL,noCUE
5,e5,6,b,0,那名,-,367,1,0,CL,noCUE
13,e5,6,b,0,那名,-,368,1,0,CL,noCUE
25,e5,6,b,0,那名,-,371,1,0,CL,noCUE
49,e5,6,b,0,那名,-,413,1,0,CL,noCUE
37,e5,6,b,0,那名,-,415,1,0,CL,noCUE
57,e5,6,b,0,那名,-,445,1,0,CL,noCUE
45,e5,6,b,0,那名,-,449,1,0,CL,noCUE
53,e5,6,b,0,那名,-,453,1,0,CL,noCUE
9,e5,6,b,0,那名,-,481,1,0,CL,noCUE
17,e5,6,b,0,那名,-,566,1,0,CL,noCUE
33,e5,6,b,0,那名,-,700,1,0,CL,noCUE
48,e5,7,b,0,那位,-,254,1,0,CL,noCUE
40,e5,7,b,0,那位,-,269,1,0,CL,noCUE
4,e5,7,b,0,那位,-,293,1,0,CL,noCUE
