"subj"	"expt"	"item"	"cond"	"roi"	"word"	"region"	"rt"
"33"	1	"practice"	3	"-"	"9"	"Milchkühe"	"-"	397
"34"	1	"practice"	3	"-"	"10"	"im_letzten_Jahr"	"-"	653
"35"	1	"practice"	3	"-"	"11"	"der"	"-"	380
"36"	1	"practice"	3	"-"	"12"	"Rinderpest"	"-"	500
"37"	1	"practice"	3	"-"	"13"	"zum_Opfer"	"-"	2513
"38"	1	"practice"	3	"-"	"14"	"gefallen"	"-"	377
"39"	1	"practice"	3	"-"	"15"	"war,"	"-"	350
"40"	1	"practice"	3	"-"	"16"	"und"	"-"	455
"41"	1	"practice"	3	"-"	"17"	"er"	"-"	355
"42"	1	"practice"	3	"-"	"18"	"immer"	"-"	363
"43"	1	"practice"	3	"-"	"19"	"noch"	"-"	363
"44"	1	"practice"	3	"-"	"20"	"auf_die_Entschädigung"	"-"	525
"45"	1	"practice"	3	"-"	"21"	"aus"	"-"	600
"46"	1	"practice"	3	"-"	"22"	"Brüssel"	"-"	681
"47"	1	"practice"	3	"-"	"23"	"wartet,"	"-"	386
"48"	1	"practice"	3	"-"	"24"	"obwohl"	"-"	444
"49"	1	"practice"	3	"-"	"25"	"er"	"-"	377
"50"	1	"practice"	3	"-"	"26"	"sie"	"-"	358
"51"	1	"practice"	3	"-"	"27"	"sofort"	"-"	341
"52"	1	"practice"	3	"-"	"28"	"beantragt"	"-"	313
"53"	1	"practice"	3	"-"	"29"	"hatte."	"-"	382
"54"	1	"practice"	4	"-"	"0"	"Die"	"-"	584
"55"	1	"practice"	4	"-"	"1"	"Sekretärin"	"-"	534
"56"	1	"practice"	4	"-"	"2"	"wird"	"-"	447
"57"	1	"practice"	4	"-"	"3"	"jetzt"	"-"	487
"58"	1	"practice"	4	"-"	"4"	"gleich"	"-"	381
"59"	1	"practice"	4	"-"	"5"	"ihrem_jungen_Chef"	"-"	1177
"60"	1	"practice"	4	"-"	"6"	"den"	"-"	425
"61"	1	"practice"	4	"-"	"7"	"Brief"	"-"	461
"62"	1	"practice"	4	"-"	"8"	"tippen,"	"-"	391
"63"	1	"practice"	4	"-"	"9"	"obwohl"	"-"	628
"64"	1	"practice"	4	"-"	"10"	"dieser"	"-"	450
"65"	1	"practice"	4	"-"	"11"	"ihn"	"-"	409
"66"	1	"practice"	4	"-"	"12"	"erst"	"-"	377
"67"	1	"practice"	4	"-"	"13"	"morgen"	"-"	395
"68"	1	"practice"	4	"-"	"14"	"früh"	"-"	372
"69"	1	"practice"	4	"-"	"15"	"benötigt,"	"-"	372
"70"	1	"practice"	4	"-"	"16"	"wie"	"-"	638
"71"	1	"practice"	4	"-"	"17"	"er"	"-"	380
"72"	1	"practice"	4	"-"	"18"	"ihr"	"-"	345
"73"	1	"practice"	4	"-"	"19"	"bereits"	"-"	344
"74"	1	"practice"	4	"-"	"20"	"mehrmals"	"-"	419
"75"	1	"practice"	4	"-"	"21"	"gesagt"	"-"	389
"76"	1	"practice"	4	"-"	"22"	"hat."	"-"	431
"77"	1	"practice"	5	"-"	"0"	"Da"	"-"	438
"78"	1	"practice"	5	"-"	"1"	"der"	"-"	361
"79"	1	"practice"	5	"-"	"2"	"zitterige"	"-"	444
"80"	1	"practice"	5	"-"	"3"	"Großvater"	"-"	498
"81"	1	"practice"	5	"-"	"4"	"seine_Rentenzahlung"	"-"	642
"82"	1	"practice"	5	"-"	"5"	"verspätet"	"-"	402
"83"	1	"practice"	5	"-"	"6"	"erhalten_hatte,"	"-"	488
"84"	1	"practice"	5	"-"	"7"	"musste"	"-"	480
"85"	1	"practice"	5	"-"	"8"	"er"	"-"	411
"86"	1	"practice"	5	"-"	"9"	"am_Monatsende"	"-"	481
"87"	1	"practice"	5	"-"	"10"	"seinen"	"-"	436
"88"	1	"practice"	5	"-"	"11"	"Sohn"	"-"	561
"89"	1	"practice"	5	"-"	"12"	"um_Hilfe"	"-"	389
"90"	1	"practice"	5	"-"	"13"	"mit_der_Miete"	"-"	397
"91"	1	"practice"	5	"-"	"14"	"seiner"	"-"	469
"92"	1	"practice"	5	"-"	"15"	"Wohnung"	"-"	522
"93"	1	"practice"	5	"-"	"16"	"bitten,"	"-"	378
"94"	1	"practice"	5	"-"	"17"	"was"	"-"	377
"95"	1	"practice"	5	"-"	"18"	"diesem"	"-"	344
"96"	1	"practice"	5	"-"	"19"	"jedoch"	"-"	344
"97"	1	"practice"	5	"-"	"20"	"gar"	"-"	346
"98"	1	"practice"	5	"-"	"21"	"nicht"	"-"	333
"99"	1	"practice"	5	"-"	"22"	"Recht"	"-"	341
"100"	1	"practice"	5	"-"	"23"	"war."	"-"	346
"101"	1	"practice"	5	"-"	"?"	"Y"	"1"	2963
"102"	1	"practice"	6	"-"	"0"	"Weil"	"-"	428
"103"	1	"practice"	6	"-"	"1"	"die"	"-"	397
"104"	1	"practice"	6	"-"	"2"	"alte"	"-"	370
"105"	1	"practice"	6	"-"	"3"	"Angorakatze"	"-"	462
"106"	1	"practice"	6	"-"	"4"	"immer"	"-"	1215
"107"	1	"practice"	6	"-"	"5"	"wieder"	"-"	442
"108"	1	"practice"	6	"-"	"6"	"eklige"	"-"	445
"109"	1	"practice"	6	"-"	"7"	"Mäusekadaver"	"-"	447
"110"	1	"practice"	6	"-"	"8"	"aus"	"-"	436
"111"	1	"practice"	6	"-"	"9"	"der_nahegelegenen_Mülldeponie"	"-"	818
"112"	1	"practice"	6	"-"	"10"	"anschleppte,"	"-"	458
"113"	1	"practice"	6	"-"	"11"	"sperrte"	"-"	403
"114"	1	"practice"	6	"-"	"12"	"der_rüstige_Rentner"	"-"	595
"115"	1	"practice"	6	"-"	"13"	"sie"	"-"	434
"116"	1	"practice"	6	"-"	"14"	"in"	"-"	376
"117"	1	"practice"	6	"-"	"15"	"den"	"-"	370
"118"	1	"practice"	6	"-"	"16"	"Keller."	"-"	412
"119"	1	"practice"	6	"-"	"?"	"N"	"1"	2259
"120"	1	"filler"	34	"-"	"0"	"Der"	"-"	464
"121"	1	"filler"	34	"-"	"1"	"Wissenschaftler"	"-"	525
"122"	1	"filler"	34	"-"	"2"	"wird"	"-"	464
"123"	1	"filler"	34	"-"	"3"	"heute"	"-"	442
"124"	1	"filler"	34	"-"	"4"	"einen_wichtigen_Versuch"	"-"	520
"125"	1	"filler"	34	"-"	"5"	"durchführen,"	"-"	506
"126"	1	"filler"	34	"-"	"6"	"der"	"-"	442
"127"	1	"filler"	34	"-"	"7"	"ihn"	"-"	470
"128"	1	"filler"	34	"-"	"8"	"weltweit"	"-"	364
"129"	1	"filler"	34	"-"	"9"	"berühmt"	"-"	451
"130"	1	"filler"	34	"-"	"10"	"machen"	"-"	445
"131"	1	"filler"	34	"-"	"11"	"könnte,"	"-"	409
"132"	1	"filler"	34	"-"	"12"	"falls"	"-"	451
"133"	1	"filler"	34	"-"	"13"	"er"	"-"	384
"134"	1	"filler"	34	"-"	"14"	"erfolgreich"	"-"	395
"135"	1	"filler"	34	"-"	"15"	"verlaufen"	"-"	403
"136"	1	"filler"	34	"-"	"16"	"sollte."	"-"	428
"137"	1	"filler"	16	"-"	"0"	"Dass"	"-"	518
"138"	1	"filler"	16	"-"	"1"	"der_Mitarbeiter"	"-"	479
"139"	1	"filler"	16	"-"	"2"	"den_Urlaub"	"-"	400
"140"	1	"filler"	16	"-"	"3"	"verdient,"	"-"	437
"141"	1	"filler"	16	"-"	"4"	"hat"	"-"	465
"142"	1	"filler"	16	"-"	"5"	"der_verlässliche_Vorgesetzte"	"-"	690
"143"	1	"filler"	16	"-"	"6"	"betont,"	"-"	813
"144"	1	"filler"	16	"-"	"7"	"als"	"-"	546
"145"	1	"filler"	16	"-"	"8"	"er"	"-"	498
"146"	1	"filler"	16	"-"	"9"	"dem"	"-"	437
"147"	1	"filler"	16	"-"	"10"	"Vorstand"	"-"	445
"148"	1	"filler"	16	"-"	"11"	"den"	"-"	562
"149"	1	"filler"	16	"-"	"12"	"Bericht"	"-"	462
"150"	1	"filler"	16	"-"	"13"	"vorstellte."	"-"	637
"151"	1	"filler"	16	"-"	"?"	"Y"	"1"	4254
"152"	1	"filler"	21	"-"	"0"	"Der"	"-"	425
"153"	1	"filler"	21	"-"	"1"	"Feuerwehrmann"	"-"	657
"154"	1	"filler"	21	"-"	"2"	"rettet"	"-"	517
"155"	1	"filler"	21	"-"	"3"	"den"	"-"	540
"156"	1	"filler"	21	"-"	"4"	"Kater,"	"-"	414
"157"	1	"filler"	21	"-"	"5"	"hat"	"-"	437
"158"	1	"filler"	21	"-"	"6"	"der"	"-"	434
"159"	1	"filler"	21	"-"	"7"	"kleine"	"-"	453
"160"	1	"filler"	21	"-"	"8"	"Junge"	"-"	440
"161"	1	"filler"	21	"-"	"9"	"geglaubt,"	"-"	537
"162"	1	"filler"	21	"-"	"10"	"als"	"-"	534
"163"	1	"filler"	21	"-"	"11"	"er"	"-"	425
"164"	1	"filler"	21	"-"	"12"	"die"	"-"	418
"165"	1	"filler"	21	"-"	"13"	"Notrufzentrale"	"-"	648
"166"	1	"filler"	21	"-"	"14"	"anrief."	"-"	397
"167"	1	"filler"	21	"-"	"?"	"N"	"1"	2963
"168"	1	"LKrep"	21	"a"	"0"	"Weil"	"-"	609
"169"	1	"LKrep"	21	"a"	"1"	"der"	"-"	428
"170"	1	"LKrep"	21	"a"	"2"	"Pächter"	"-"	536
"171"	1	"LKrep"	21	"a"	"3"	"zur"	"p"	480
"172"	1	"LKrep"	21	"a"	"4"	"sofortigen_Behebung"	"pp1"	800
"173"	1	"LKrep"	21	"a"	"5"	"des_offensichtlichen_Notstands"	"pp2"	1118
"174"	1	"LKrep"	21	"a"	"6"	"den_Beistand"	"subordnp"	608
"175"	1	"LKrep"	21	"a"	"7"	"leistete,"	"subordverb"	681
"176"	1	"LKrep"	21	"a"	"8"	"hat"	"-"	518
"177"	1	"LKrep"	21	"a"	"9"	"Paul_Schnitzer"	"npsubj"	519
"178"	1	"LKrep"	21	"a"	"10"	"dem_frierenden_Bewohner"	"npdat"	625
"179"	1	"LKrep"	21	"a"	"11"	"des_eingestürzten_Hochhauses"	"npgen"	1241
"180"	1	"LKrep"	21	"a"	"12"	"den_Schuppen"	"npacc"	684
"181"	1	"LKrep"	21	"a"	"13"	"aufgeschlossen,"	"verb"	642
"182"	1	"LKrep"	21	"a"	"14"	"und"	"verb1"	464
"183"	1	"LKrep"	21	"a"	"15"	"so"	"verb2"	420
"184"	1	"LKrep"	21	"a"	"16"	"die_Not"	"verb3"	425
"185"	1	"LKrep"	21	"a"	"17"	"gelindert."	"verb4"	478
"186"	1	"filler"	31	"-"	"0"	"Weil"	"-"	628
"187"	1	"filler"	31	"-"	"1"	"der"	"-"	523
"188"	1	"filler"	31	"-"	"2"	"Mitarbeiter"	"-"	520
"189"	1	"filler"	31	"-"	"3"	"der"	"-"	498
"190"	1	"filler"	31	"-"	"4"	"Zentralbank"	"-"	622
"191"	1	"filler"	31	"-"	"5"	"seinem_Vorgesetzten"	"-"	642
"192"	1	"filler"	31	"-"	"6"	"Misswirtschaft"	"-"	500
"193"	1	"filler"	31	"-"	"7"	"anlastete,"	"-"	1196
"194"	1	"filler"	31	"-"	"8"	"wurde"	"-"	859
"195"	1	"filler"	31	"-"	"9"	"er"	"-"	417
"196"	1	"filler"	31	"-"	"10"	"von_seinen_Kollegen"	"-"	525
"197"	1	"filler"	31	"-"	"11"	"aus_dem_Amt"	"-"	542
"198"	1	"filler"	31	"-"	"12"	"gejagt,"	"-"	447
"199"	1	"filler"	31	"-"	"13"	"obwohl"	"-"	489
"200"	1	"filler"	31	"-"	"14"	"er"	"-"	408
"201"	1	"filler"	31	"-"	"15"	"das"	"-"	369
"202"	1	"filler"	31	"-"	"16"	"nicht"	"-"	386
"203"	1	"filler"	31	"-"	"17"	"verdient"	"-"	411
"204"	1	"filler"	31	"-"	"18"	"hatte."	"-"	422
"205"	1	"LKrep"	22	"b"	"0"	"Weil"	"-"	489
"206"	1	"LKrep"	22	"b"	"1"	"der"	"-"	450
"207"	1	"LKrep"	22	"b"	"2"	"Großvater"	"-"	544
"208"	1	"LKrep"	22	"b"	"3"	"den_Aktienanteil"	"subordnp"	1207
"209"	1	"LKrep"	22	"b"	"4"	"verkaufte,"	"subordverb"	461
"210"	1	"LKrep"	22	"b"	"5"	"hat"	"-"	482
"211"	1	"LKrep"	22	"b"	"6"	"Johannes_Probst"	"npsubj"	1079
"212"	1	"LKrep"	22	"b"	"7"	"trotz"	"p"	438
"213"	1	"LKrep"	22	"b"	"8"	"erheblicher_Bedenken"	"pp1"	711
"214"	1	"LKrep"	22	"b"	"9"	"des_gewissenhaften_Steuerberaters"	"pp2"	1399
"215"	1	"LKrep"	22	"b"	"10"	"dem_gierigen_Angestellten"	"npdat"	806
"216"	1	"LKrep"	22	"b"	"11"	"des_großen_Finanzhauses"	"npgen"	948
"217"	1	"LKrep"	22	"b"	"12"	"den_Anteilschein"	"npacc"	1106
"218"	1	"LKrep"	22	"b"	"13"	"vorgelegt,"	"verb"	789
"219"	1	"LKrep"	22	"b"	"14"	"und"	"verb1"	658
"220"	1	"LKrep"	22	"b"	"15"	"damit"	"verb2"	441
"221"	1	"LKrep"	22	"b"	"16"	"das_Vermögen"	"verb3"	519
"222"	1	"LKrep"	22	"b"	"17"	"gefährdet."	"verb4"	552
"223"	1	"filler"	12	"-"	"0"	"Dass"	"-"	904
"224"	1	"filler"	12	"-"	"1"	"der_Neubau"	"-"	732
"225"	1	"filler"	12	"-"	"2"	"den_Vorort"	"-"	685
"226"	1	"filler"	12	"-"	"3"	"verschandelt,"	"-"	570
"227"	1	"filler"	12	"-"	"4"	"hat"	"-"	565
"228"	1	"filler"	12	"-"	"5"	"der_anwesende_Architekt"	"-"	1274
"229"	1	"filler"	12	"-"	"6"	"gemeint,"	"-"	496
"230"	1	"filler"	12	"-"	"7"	"als"	"-"	573
"231"	1	"filler"	12	"-"	"8"	"die"	"-"	590
"232"	1	"filler"	12	"-"	"9"	"Einweihungsfeier"	"-"	712
"233"	1	"filler"	12	"-"	"10"	"zu"	"-"	506
"234"	1	"filler"	12	"-"	"11"	"Ende"	"-"	498
"235"	1	"filler"	12	"-"	"12"	"war."	"-"	451
"236"	1	"filler"	12	"-"	"?"	"Y"	"1"	2715
"237"	1	"filler"	43	"-"	"0"	"Der"	"-"	537
"238"	1	"filler"	43	"-"	"1"	"Waldbesitzer"	"-"	595
"239"	1	"filler"	43	"-"	"2"	"verkraftet"	"-"	587
"240"	1	"filler"	43	"-"	"3"	"den"	"-"	433
"241"	1	"filler"	43	"-"	"4"	"Verlust,"	"-"	453
"242"	1	"filler"	43	"-"	"5"	"hat"	"-"	467
"243"	1	"filler"	43	"-"	"6"	"der"	"-"	1013
"244"	1	"filler"	43	"-"	"7"	"alte"	"-"	436
"245"	1	"filler"	43	"-"	"8"	"Förster"	"-"	439
"246"	1	"filler"	43	"-"	"9"	"erläutert,"	"-"	462
"247"	1	"filler"	43	"-"	"10"	"als"	"-"	729
"248"	1	"filler"	43	"-"	"11"	"er"	"-"	496
"249"	1	"filler"	43	"-"	"12"	"den"	"-"	395
"250"	1	"filler"	43	"-"	"13"	"Platzhirsch"	"-"	597
"251"	1	"filler"	43	"-"	"14"	"abschoss."	"-"	428
"252"	1	"LKrep"	10	"b"	"0"	"Nachdem"	"-"	603
"253"	1	"LKrep"	10	"b"	"1"	"der"	"-"	667
"254"	1	"LKrep"	10	"b"	"2"	"Konzern"	"-"	466
"255"	1	"LKrep"	10	"b"	"3"	"den_Filmvertrag"	"subordnp"	538
"256"	1	"LKrep"	10	"b"	"4"	"anbot,"	"subordverb"	680
"257"	1	"LKrep"	10	"b"	"5"	"hat"	"-"	687
"258"	1	"LKrep"	10	"b"	"6"	"Karin_Kowalsky"	"npsubj"	744
"259"	1	"LKrep"	10	"b"	"7"	"trotz"	"p"	449
"260"	1	"LKrep"	10	"b"	"8"	"heftigen_Protestes"	"pp1"	549
"261"	1	"LKrep"	10	"b"	"9"	"des_verärgerten_Produzenten"	"pp2"	1020
"262"	1	"LKrep"	10	"b"	"10"	"dem_berühmten_Regisseur"	"npdat"	830
"263"	1	"LKrep"	10	"b"	"11"	"des_erstklassigen_Werks"	"npgen"	1193
"264"	1	"LKrep"	10	"b"	"12"	"den_Schauspieler"	"npacc"	807
"265"	1	"LKrep"	10	"b"	"13"	"vorgestellt,"	"verb"	1015
"266"	1	"LKrep"	10	"b"	"14"	"und"	"verb1"	525
"267"	1	"LKrep"	10	"b"	"15"	"so"	"verb2"	446
"268"	1	"LKrep"	10	"b"	"16"	"die_Produktion"	"verb3"	525
"269"	1	"LKrep"	10	"b"	"17"	"ermöglicht."	"verb4"	742
"270"	1	"LKrep"	10	"b"	"?"	"N"	"0"	4255
"271"	1	"filler"	29	"-"	"0"	"Nachdem"	"-"	644
"272"	1	"filler"	29	"-"	"1"	"sie"	"-"	480
"273"	1	"filler"	29	"-"	"2"	"schon"	"-"	475
"274"	1	"filler"	29	"-"	"3"	"lange"	"-"	433
"275"	1	"filler"	29	"-"	"4"	"mit"	"-"	413
"276"	1	"filler"	29	"-"	"5"	"einem"	"-"	628
"277"	1	"filler"	29	"-"	"6"	"kleinen"	"-"	460
"278"	1	"filler"	29	"-"	"7"	"grünen"	"-"	475
"279"	1	"filler"	29	"-"	"8"	"Polo"	"-"	500
"280"	1	"filler"	29	"-"	"9"	"durch_die_Gegend"	"-"	591
"281"	1	"filler"	29	"-"	"10"	"gefahren_war,"	"-"	477
"282"	1	"filler"	29	"-"	"11"	"beschloss"	"-"	567
"283"	1	"filler"	29	"-"	"12"	"Katrin_Helbig"	"-"	650
"284"	1	"filler"	29	"-"	"13"	"nun"	"-"	464
"285"	1	"filler"	29	"-"	"14"	"die_Anschaffung"	"-"	514
"286"	1	"filler"	29	"-"	"15"	"eines"	"-"	452
"287"	1	"filler"	29	"-"	"16"	"roten"	"-"	424
"288"	1	"filler"	29	"-"	"17"	"Lastwagens,"	"-"	517
"289"	1	"filler"	29	"-"	"18"	"obwohl"	"-"	472
"290"	1	"filler"	29	"-"	"19"	"dieser"	"-"	455
"291"	1	"filler"	29	"-"	"20"	"ein_kleines_Vermögen"	"-"	617
"292"	1	"filler"	29	"-"	"21"	"kostete."	"-"	408
"293"	1	"LKrep"	8	"d"	"0"	"Weil"	"-"	486
"294"	1	"LKrep"	8	"d"	"1"	"der"	"-"	439
"295"	1	"LKrep"	8	"d"	"2"	"Einkäufer"	"-"	656
"296"	1	"LKrep"	8	"d"	"3"	"den_Preis"	"subordnp"	578
"297"	1	"LKrep"	8	"d"	"4"	"erhöhte,"	"subordverb"	525
"298"	1	"LKrep"	8	"d"	"5"	"hat"	"-"	673
"299"	1	"LKrep"	8	"d"	"6"	"der_Geldgeber,"	"npsubj"	492
"300"	1	"LKrep"	8	"d"	"7"	"der"	"-"	446
"301"	1	"LKrep"	8	"d"	"8"	"nach"	"p"	487
"302"	1	"LKrep"	8	"d"	"9"	"erneuter_Ausweitung"	"pp1"	644
"303"	1	"LKrep"	8	"d"	"10"	"des_großzügigen_Angebots"	"pp2"	1101
"304"	1	"LKrep"	8	"d"	"11"	"dem_kränkelnden_Betrieb"	"npdat"	915
"305"	1	"LKrep"	8	"d"	"12"	"des_alternden_Unternehmers"	"npgen"	954
"306"	1	"LKrep"	8	"d"	"13"	"den_Auftrag"	"npacc"	712
"307"	1	"LKrep"	8	"d"	"14"	"versprochen_hat,"	"verb"	542
"308"	1	"LKrep"	8	"d"	"15"	"den_Konkurs"	"verb1"	773
"309"	1	"LKrep"	8	"d"	"16"	"abgewendet."	"verb2"	542
"310"	1	"LKrep"	8	"d"	"?"	"Y"	"0"	6973
"311"	1	"filler"	6	"-"	"0"	"Weil"	"-"	622
"312"	1	"filler"	6	"-"	"1"	"er"	"-"	701
"313"	1	"filler"	6	"-"	"2"	"schon"	"-"	551
"314"	1	"filler"	6	"-"	"3"	"seit_langer_Zeit"	"-"	659
"315"	1	"filler"	6	"-"	"4"	"all"	"-"	495
"316"	1	"filler"	6	"-"	"5"	"seine"	"-"	442
"317"	1	"filler"	6	"-"	"6"	"Ersparnisse"	"-"	453
"318"	1	"filler"	6	"-"	"7"	"gehortet"	"-"	430
"319"	1	"filler"	6	"-"	"8"	"hatte,"	"-"	411
"320"	1	"filler"	6	"-"	"9"	"konnte"	"-"	623
"321"	1	"filler"	6	"-"	"10"	"der_Freund_meiner_Tochter"	"-"	1069
"322"	1	"filler"	6	"-"	"11"	"sich"	"-"	648
"323"	1	"filler"	6	"-"	"12"	"einen_teuren_Sportwagen"	"-"	793
"324"	1	"filler"	6	"-"	"13"	"einer"	"-"	956
"325"	1	"filler"	6	"-"	"14"	"Stuttgarter"	"-"	453
"326"	1	"filler"	6	"-"	"15"	"Nobelmarke"	"-"	489
"327"	1	"filler"	6	"-"	"16"	"leisten."	"-"	444
"328"	1	"filler"	6	"-"	"?"	"N"	"1"	3912
"329"	1	"filler"	27	"-"	"0"	"Weil"	"-"	483
"330"	1	"filler"	27	"-"	"1"	"er"	"-"	419
"331"	1	"filler"	27	"-"	"2"	"keinen"	"-"	475
"332"	1	"filler"	27	"-"	"3"	"großen"	"-"	606
"333"	1	"filler"	27	"-"	"4"	"Hunger"	"-"	374
"334"	1	"filler"	27	"-"	"5"	"verspürte,"	"-"	464
"335"	1	"filler"	27	"-"	"6"	"beschloss"	"-"	494
"336"	1	"filler"	27	"-"	"7"	"Martin_Kunze,"	"-"	431
"337"	1	"filler"	27	"-"	"8"	"lediglich"	"-"	648
"338"	1	"filler"	27	"-"	"9"	"ein_kleines_Steak"	"-"	1020
"339"	1	"filler"	27	"-"	"10"	"zum_Mittagessen"	"-"	695
"340"	1	"filler"	27	"-"	"11"	"zu"	"-"	603
"341"	1	"filler"	27	"-"	"12"	"verspeisen,"	"-"	456
"342"	1	"filler"	27	"-"	"13"	"was"	"-"	709
"343"	1	"filler"	27	"-"	"14"	"ihm"	"-"	481
"344"	1	"filler"	27	"-"	"15"	"auch"	"-"	506
"345"	1	"filler"	27	"-"	"16"	"überaus"	"-"	551
"346"	1	"filler"	27	"-"	"17"	"gut"	"-"	428
"347"	1	"filler"	27	"-"	"18"	"bekam."	"-"	445
"348"	1	"LKrep"	1	"a"	"0"	"Weil"	"-"	461
"349"	1	"LKrep"	1	"a"	"1"	"der"	"-"	456
"350"	1	"LKrep"	1	"a"	"2"	"Verkäufer"	"-"	436
"351"	1	"LKrep"	1	"a"	"3"	"ohne"	"p"	441
"352"	1	"LKrep"	1	"a"	"4"	"langes_Bedenken"	"pp1"	678
"353"	1	"LKrep"	1	"a"	"5"	"des_problematischen_Sachverhalts"	"pp2"	1967
"354"	1	"LKrep"	1	"a"	"6"	"den_Mangel"	"subordnp"	452
"355"	1	"LKrep"	1	"a"	"7"	"verheimlichte,"	"subordverb"	497
"356"	1	"LKrep"	1	"a"	"8"	"hat"	"-"	472
"357"	1	"LKrep"	1	"a"	"9"	"Peter_Mühlberger"	"npsubj"	625
"358"	1	"LKrep"	1	"a"	"10"	"dem_arroganten_Händler"	"npdat"	895
"359"	1	"LKrep"	1	"a"	"11"	"des_vornehmen_Autohauses"	"npgen"	1118
"360"	1	"LKrep"	1	"a"	"12"	"den_Höchstpreis"	"npacc"	614
"361"	1	"LKrep"	1	"a"	"13"	"geboten,"	"verb"	482
"362"	1	"LKrep"	1	"a"	"14"	"und"	"verb1"	439
"363"	1	"LKrep"	1	"a"	"15"	"so"	"verb2"	439
"364"	1	"LKrep"	1	"a"	"16"	"einen_Verlust"	"verb3"	421
"365"	1	"LKrep"	1	"a"	"17"	"gemacht."	"verb4"	410
"366"	1	"LKrep"	1	"a"	"?"	"N"	"0"	7243
"367"	1	"filler"	5	"-"	"0"	"Der"	"-"	400
"368"	1	"filler"	5	"-"	"1"	"Bergsteiger"	"-"	439
"369"	1	"filler"	5	"-"	"2"	"beschloss,"	"-"	533
"370"	1	"filler"	5	"-"	"3"	"auf"	"-"	380
"371"	1	"filler"	5	"-"	"4"	"Grund"	"-"	366
"372"	1	"filler"	5	"-"	"5"	"des"	"-"	372
"373"	1	"filler"	5	"-"	"6"	"schönen"	"-"	386
"374"	1	"filler"	5	"-"	"7"	"Wetters"	"-"	400
"375"	1	"filler"	5	"-"	"8"	"nicht"	"-"	520
"376"	1	"filler"	5	"-"	"9"	"zum"	"-"	414
"377"	1	"filler"	5	"-"	"10"	"Basislager"	"-"	425
"378"	1	"filler"	5	"-"	"11"	"zurückzukehren,"	"-"	411
"379"	1	"filler"	5	"-"	"12"	"sondern"	"-"	469
"380"	1	"filler"	5	"-"	"13"	"stattdessen"	"-"	436
"381"	1	"filler"	5	"-"	"14"	"den_gefährlichen_Gipfel"	"-"	755
"382"	1	"filler"	5	"-"	"15"	"der_Bergkette"	"-"	506
"383"	1	"filler"	5	"-"	"16"	"zu"	"-"	904
"384"	1	"filler"	5	"-"	"17"	"besteigen,"	"-"	391
"385"	1	"filler"	5	"-"	"18"	"was"	"-"	406
"386"	1	"filler"	5	"-"	"19"	"er"	"-"	392
"387"	1	"filler"	5	"-"	"20"	"aber"	"-"	389
"388"	1	"filler"	5	"-"	"21"	"bald"	"-"	380
"389"	1	"filler"	5	"-"	"22"	"bereuen"	"-"	372
"390"	1	"filler"	5	"-"	"23"	"sollte."	"-"	383
"391"	1	"filler"	5	"-"	"?"	"Y"	"1"	3098
"392"	1	"filler"	19	"-"	"0"	"Der"	"-"	382
"393"	1	"filler"	19	"-"	"1"	"Kollege"	"-"	484
"394"	1	"filler"	19	"-"	"2"	"bearbeitet"	"-"	372
